Title,Views,Published,Link
"초코 아이스크림을 먹고 싶은 엄마를 위한 아이디어💡",20048007,2025-05-27 00:20,"https://youtube.com/shorts/-_NgQL_anto"
"Football Telepathy Challenge vs Echeverri 🧠😅",9982227,2025-05-27 00:30,"https://youtube.com/shorts/ZeVeKt9ZvQM"
"My Teachers Are TOO STRICT!",9225301,2025-05-26 21:00,"https://youtube.com/shorts/U2yTes7GON0"
"Tengo un GRAVE PROBLEMA por operarme 🥵🥴💔🤯",6740877,2025-05-27 04:49,"https://youtube.com/shorts/pfCBn2Jr4ow"
"Meri cycle Kahan Gai 🚲🤪😄😍🤣#shorts #viral #trending #funny",4203418,2025-05-26 22:38,"https://youtube.com/shorts/Tg6MQKGtoYw"
"Жена ударила Макрона при журналистах! Видео разлетелось по сети! #франция #макрон #скандал",3468781,2025-05-26 23:33,"https://youtube.com/shorts/T5P8JdPTnE8"
"Mango Na Dene Ke Chakkar mein Misti Gayab Ho Gaya🤪🤣🥰#shorts #funny #viralvideo",3800979,2025-05-26 12:32,"https://youtube.com/shorts/Ee8zuEIvtsU"
"🎉🎁 Langlang and Julie prepared a surprise for Dad.#funny",3075107,2025-05-26 12:28,"https://youtube.com/shorts/HiP5Qsj0Bkg"
"人種差別したディーラーの末路",2815469,2025-05-26 12:01,"https://youtube.com/shorts/tjayLygQP1Q"
"Leftover Egg Whites? Make PAVLOVA!",2031036,2025-05-26 05:31,"https://youtube.com/shorts/vIHZiSl7llQ"
"QUANDO A MÃE RAIZ PRECISA SÓ DO OLHAR",2136944,2025-05-27 08:00,"https://youtube.com/shorts/GcJ4-TL4F3Q"
"息子が誘拐されたけど… #shorts",1955747,2025-05-26 15:00,"https://youtube.com/shorts/hWMYooh99Jo"
"【バリカタNG】このお店では絶対に『バリカタ』と言わないでください",1696789,2025-05-26 19:07,"https://youtube.com/shorts/uJl_rp1zpws"
"How do the Fremen stay cool in the desert? 🤔",1639670,2025-05-27 00:31,"https://youtube.com/shorts/t6AcmtkoQRk"
"お金トラブルで友達やめた時…#あるある #カップル #shorts",1645839,2025-05-26 19:00,"https://youtube.com/shorts/Cy8eGRJoO08"
"Filter ✨🧡 Chooses My BACKPACK 🎒!!",1420652,2025-05-26 03:30,"https://youtube.com/shorts/idXxjWtW8lI"
"しばり跡の残らない髪の毛の結び方",1623554,2025-05-26 17:00,"https://youtube.com/shorts/ZpEYVwBVffc"
"PAISES QUE A MIA JÁ FOI 🌎 #viagem",2395830,2025-05-27 08:02,"https://youtube.com/shorts/gueOWLdyaO4"
"ZOMBIES eran ATERRADORES en la pelicula de #minecraft",1183493,2025-05-26 08:15,"https://youtube.com/shorts/RWt4lXfIAeg"
"Head, Abhishek & Klasssen batting in Last match of 2025☠️ #shorts #trending",1195760,2025-05-27 14:03,"https://youtube.com/shorts/VTvaTJcrVjI"
"有名アニメの耳を疑う発言がヤバすぎるww  #アニメ #ドラえもん #妖怪ウォッチ #はなかっぱ",1186325,2025-05-27 13:15,"https://youtube.com/shorts/UbgFAnva0tw"
"つかまえたら100万円！ #shorts #マイクラ",1140680,2025-05-26 16:00,"https://youtube.com/shorts/zHnjIe8IexU"
"WHOLE different game 😭 #Fortnite",1044122,2025-05-27 13:05,"https://youtube.com/shorts/jdaGzAdthLE"
"Uzak Şehir 28. Bölüm 1. Tanıtım (Sezon Finali) | ""Canım Zaten Hep Yanıyor..."" #shorts",1008852,2025-05-27 06:29,"https://youtube.com/shorts/-nZ50QzBP0U"
"what a legendary wingman 🏆",1242458,2025-05-27 00:00,"https://youtube.com/shorts/Wxxo3RyOX4M"
"House wife vs working women part-114 #ytshorts #richakka #viral",933364,2025-05-26 22:15,"https://youtube.com/shorts/L8NG6hp9wBM"
"Try To Score Every Ball 🙈😱",894698,2025-05-27 00:00,"https://youtube.com/shorts/008gccZ2VLQ"
"#profejesusandres A COCINAR",905296,2025-05-27 02:28,"https://youtube.com/shorts/NBIAvuLh6R0"
"మమ్మి 🤣 అంజి 💕#super comedy #family #funny #love #emotional  #viralvideo #ytshorts",684809,2025-05-27 13:47,"https://youtube.com/shorts/-IbEq-5R8Go"
"Anaya Chair Par Aise Kaise Baithi Hai 😳🤯",1154029,2025-05-27 23:04,"https://youtube.com/shorts/ca9PJ2roEVI"
"Odiaba a La Morra CASTROSA del Salón 😱😱",794913,2025-05-27 06:36,"https://youtube.com/shorts/DO7Cblpmzdw"
"【VTuberの主張】虎「語尾に“トラ”を付けるの、後悔してるま～す！」 #あおぎり高校 #vtuber #funny #shorts",948782,2025-05-26 19:01,"https://youtube.com/shorts/dYGazAcDSu0"
"what did this latest vinyl album do to them #shorts",833420,2025-05-27 04:00,"https://youtube.com/shorts/0GMslUXNgVA"
"My school choosing a ball 💀",849233,2025-05-27 09:18,"https://youtube.com/shorts/XlQQRUbJupM"
"The ending  😭 #sofimanassyan #funny #relatable",944195,2025-05-27 10:43,"https://youtube.com/shorts/mVdGj1d0mN4"
"Schools deciding what to feed 😂",896000,2025-05-27 10:31,"https://youtube.com/shorts/GwIpFNl6faE"
"How to give CHOCOLATE to your friend properly?😎❤️🍫| CHEFKOUDY",935216,2025-05-27 06:08,"https://youtube.com/shorts/Oe2M_oxsL_o"
