Title,Views,Published,Link
"I Opened 50 Apex Packs at Once #shorts",5148299,2024-11-08 05:24,"https://youtube.com/shorts/Id-QJD3WfR4"
"I Got Banned in Apex Legends... 😭",7741270,2025-04-17 20:36,"https://youtube.com/shorts/tqL3-7ixz8U"
"ポプテピピックで学ぶApexあるある【Apex Legends】 #Shorts",2939557,2024-08-31 12:15,"https://youtube.com/shorts/arxAvMKvRHs"
"ロングボウだけで10秒以内に5キルする男が現る【APEX LEGENDS】",2950604,2024-07-21 10:00,"https://youtube.com/shorts/LIDCQA-k1gQ"
"【apex】確実に嫌われるクリプト #apexlegends #shorts",2611230,2024-09-28 21:18,"https://youtube.com/shorts/mhPnUrNAG7s"
"【apex】敵を萎えさせる装置 #apexlegends #shorts",2462794,2024-09-29 20:06,"https://youtube.com/shorts/esgRFDtDYoM"
"世界大会MVPと1v1したら衝撃の結果に…【APEX LEGENDS】",2187995,2024-07-13 10:00,"https://youtube.com/shorts/sO3JgWGMKtE"
"今のApexランクの現実【Apex Legends】Apexあるある #Shorts",2208137,2024-11-23 12:03,"https://youtube.com/shorts/oDhe9B-zYlc"
"The Best Play of Season 23 #apexlegends #apex",1767889,2024-12-15 01:00,"https://youtube.com/shorts/egxwyLX5qQw"
"【APEX】確率0.01％？！ネメシスの超絶レアリロードを引いたプレイヤーの反応がこちら！#apex #apexlegends #fyp #おすすめ #tiktok #ゲーム #shorts",1808488,2024-08-08 17:50,"https://youtube.com/shorts/AtHWn3hWNCI"
"S22の先行プレイで海外の超有名キャラコン厨と遭遇するNIRU【APEX LEGENDS】",1571210,2024-08-17 11:30,"https://youtube.com/shorts/-ohUVM4kfGA"
"How hard is #1 Apex Predator to hold? #shorts",2093472,2025-03-23 12:52,"https://youtube.com/shorts/6wFWoMy_HXM"
"さすがに皆に出来て欲しいキャラコン３選【APEX LEGENDS】#shorts",1588829,2024-08-01 19:00,"https://youtube.com/shorts/LaJigLKwsBg"
"The Craziest Cheats In Apex Legends History",1555978,2024-10-29 04:26,"https://youtube.com/shorts/b8AZaixJ6Bc"
"5 Custom Heirlooms in Apex Legends!",1309559,2024-07-22 02:11,"https://youtube.com/shorts/yOnTA7wRi7w"
"プレデター自慢をする配信者www【APEX LEGENDS】#shorts #りー",1708050,2025-03-01 23:48,"https://youtube.com/shorts/0NCIkJEWTQg"
"Diabolical Crypto Trap #apexlegends #apex",1253304,2025-01-21 01:01,"https://youtube.com/shorts/vB0YhDQ1vIg"
"突然女を見せてきたひなのに困惑しつつも落とそうとするヘンディー【ヘンディー/トナカイト/ボドカ/橘ひなの/APEX LEGENDS】",1142873,2024-12-01 19:00,"https://youtube.com/shorts/v3d7H7lhEDY"
"Apex CONTROLLER Players NEED To Use This NOW",1277940,2024-12-11 01:29,"https://youtube.com/shorts/yzPneIsb7Tg"
"意外と強いのに人気がない武器３選【APEX LEGENDS】#shorts",1091054,2024-06-22 19:00,"https://youtube.com/shorts/xZU6IS8eLFk"
