Title,Views,Likes,Comments,Channel Title,Description,Tags,Published,Link
"I Opened 50 Apex Packs at Once #shorts",5148446,218698,452,"HisWattson2","opening apex packs #apexlegends #apex","apex legends, apex heirloom, apex packs, apex highlights, apex funny, hiswattson",2024-11-08 05:24,"https://youtube.com/shorts/Id-QJD3WfR4"
"I Got Banned in Apex Legends... 😭",7741426,266408,2520,"schrodingerLee","COME JOIN NOW LIVE😎: twitch.tv/schrodingerlee  follow my socials discord for the bois: https://discord.com/invite/schrodingerlee https://www.instagram.com/schrodingerlee https://www.tiktok.com/@schrodingerlee https://twitter.com/schrodingerlee","schrodingerlee japan, schrodingerlee and rena, schrodingerlee and enoki, schrodingerlee vods, schrodingerlee rena, schrodingerlee enoki, schrodingerlee valorant, schrodingerlee face reveal, schrodingerlee mira, schrodingerlee nako, schrodingerlee, schrodingerlee hokkai, schrodingerlee vrchat, schrodinger lee, schrodingerlee cottontail, schrodingerlee twitch, irl schrodingerlee, mira schrodingerlee, hokkai schrodingerlee, valorant schrodingerlee, apex legends, faide, aceu",2025-04-17 20:36,"https://youtube.com/shorts/tqL3-7ixz8U"
"ポプテピピックで学ぶApexあるある【Apex Legends】 #Shorts",2939557,114955,634,"ベジタイムにんじん","配信などはTwitterでお知らせしてます。 にんじんTwitter↓ https://twitter.com/VegetimeNINJIN  チャンネル登録や高評価をして頂けるとニッコリします。 よろしくお願いいたします。 https://www.youtube.com/channel/UCrkMfrxOb8FGJvLmQGKxhFw  【お問い合わせ＆仕事連絡はこちらへ】 →buber_info@blueoceanmedia.jp   #Shorts","Apex, エーペックスレジェンズ, Switch, PS4, 初心者, 解説, PC, PS5, 調整, ティックトック, TikTok, ネタ, えぺ, チーター, チート, エイムアシスト, 弱体化, シーズン22, 新マップ, 裏ワザ, グリッチ",2024-08-31 12:15,"https://youtube.com/shorts/arxAvMKvRHs"
"ロングボウだけで10秒以内に5キルする男が現る【APEX LEGENDS】",2950653,69441,1031,"NIRU","生放送 http://twitch.tv/nniru  コラボPC  https://www.pc-koubou.jp/pc/game_niru.php  NIRUの本　https://t.co/JuZYKHHjTZ  20キル&4000ダメージ  https://youtube.com/playlist?list=PLnz4nYMGRMWwOoRpZvtOBikEOEQu9C2Hg  twitter https://twitter.com/nirunno  インスタグラム https://instagram.com/niru.1218  コントローラー手元動画 https://youtu.be/9ia4bwN-HFU  NIRUグッズ　https://nirus.booth.pm/  #NIRU  #APEXLEGENDS","",2024-07-21 10:00,"https://youtube.com/shorts/LIDCQA-k1gQ"
"【apex】確実に嫌われるクリプト #apexlegends #shorts",2611266,66541,559,"おぐみちゃん","#apex #apexlegendsclips #apexclips #apexlegend #apexfunnymoment #apexfunnymoments #apexfunny #クリプト #透明 #シーズン22  #新シーズン","",2024-09-28 21:18,"https://youtube.com/shorts/mhPnUrNAG7s"
"【apex】敵を萎えさせる装置 #apexlegends #shorts",2462866,47772,343,"おぐみちゃん","#apex #apexlegendsclips #apexclips #apexfunny #apexfunnymoment #apexfunnymoments #apexキル集 #ニューキャッスル #オルター #シーズン22 #新シーズン","",2024-09-29 20:06,"https://youtube.com/shorts/esgRFDtDYoM"
"世界大会MVPと1v1したら衝撃の結果に…【APEX LEGENDS】",2187995,76809,552,"NIRU","生放送 http://twitch.tv/nniru  コラボPC  https://www.pc-koubou.jp/pc/game_niru.php  NIRUの本　https://t.co/JuZYKHHjTZ  20キル&4000ダメージ  https://youtube.com/playlist?list=PLnz4nYMGRMWwOoRpZvtOBikEOEQu9C2Hg  twitter https://twitter.com/nirunno  インスタグラム https://instagram.com/niru.1218  コントローラー手元動画 https://youtu.be/9ia4bwN-HFU  NIRUグッズ　https://nirus.booth.pm/  #NIRU  #APEXLEGENDS","",2024-07-13 10:00,"https://youtube.com/shorts/sO3JgWGMKtE"
"今のApexランクの現実【Apex Legends】Apexあるある #Shorts",2208150,56342,371,"ベジタイムにんじん","本家（絵描人 ekakibito　様） https://www.youtube.com/shorts/0UeNkT_DvOA?feature=share  配信などはTwitterでお知らせしてます。 にんじんTwitter↓ https://twitter.com/VegetimeNINJIN  チャンネル登録や高評価をして頂けるとニッコリします。 よろしくお願いいたします。 https://www.youtube.com/channel/UCrkMfrxOb8FGJvLmQGKxhFw  【お問い合わせ＆仕事連絡はこちらへ】 →buber_info@blueoceanmedia.jp   #Shorts","Apex, エーペックスレジェンズ, Switch, PS4, 初心者, 解説, PC, PS5, 調整, ティックトック, TikTok, ネタ, えぺ, チーター, チート, 弱体化, 裏ワザ, グリッチ, 千と千尋",2024-11-23 12:03,"https://youtube.com/shorts/oDhe9B-zYlc"
"The Best Play of Season 23 #apexlegends #apex",1767889,60698,459,"Johnny Price","LIVE STREAM DAYS/TIMES Sunday / Tuesday / Wednesday / Friday / Saturday  Make sure to hit the bell to turn on notifications! :D  Socials(Twitter, Discord, Etc)   - beacons.ai/johnnypricetv   #Apexlegends #apex #JohnnyPrice","Apex Legends, Apex Funny, Apex Legends Gameplay, Johnny Price, JohnnypriceTV, Somebody to love, Apex, Apex legends challenges, Apex Legends Heirloom, Apex Legends ranked, Johnny Price Apex, Apex Johnny, Horizon Apex, Horizon Somebody to love, Apex Daily Moments, Apex Daily, Apex Montage, playapex, Johnny Horizon",2024-12-15 01:00,"https://youtube.com/shorts/egxwyLX5qQw"
"【APEX】確率0.01％？！ネメシスの超絶レアリロードを引いたプレイヤーの反応がこちら！#apex #apexlegends #fyp #おすすめ #tiktok #ゲーム #shorts",1808495,37600,404,"ぽこに / Poconi","#apex #apexlegends #game #gaming #gamer #fyp #funny #おすすめ #ゲーム実況 #shorts","",2024-08-08 17:50,"https://youtube.com/shorts/AtHWn3hWNCI"
