Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"The Best PILOT takedown in Battlefield 2042..","https://youtube.com/shorts/_fG1MlW6L8E",35464488,1134070,5209,"SQUiD G+","Full Battlefield 2042 Vids -  https://www.youtube.com/@SQUiD-G","",2023-07-27 02:15
"Vietnam Veteran is a Sniper in the game with #grndpagaming #battlefield @roccat has amazing products","https://youtube.com/shorts/uY7xEydcKPM",25557682,1157092,8867,"GrndpaGaming","Socials and donations: https://linktr.ee/grndpagaming ""Grandpagaming Only YouTube  Fans"" memberships are  finally here!! Exclusive members only perks! Click here to join:  https://www.youtube.com/channel/UCQWVmYZE-JtI7BimgasRzTg/join Super Chat, Super Stickers, Customized GG emotes, VIP Access and SO MUCH MORE!  Like what you see and like to see more great content?  While other platforms take a fee on each donation,  ****  https://ko-fi.com/grndpagaming  DOES NOT!  **** What you donate goes directly to the creator without NO FEES on either end!  **100% Safe and secure, and a great way to support your favorite content creator!**  Come join all the Grandpa Sniper Club Antics https://twitter.com/Deneb1453 https://www.TikTok.com/@GrndPaGaming https://www.instagram.com/grndpagaming  OFFICIAL GrndPaGaming Gear Store: https://www.designbyhumans.com/shop/GrandpaGaming/","grandpa gaming, grndpa gaming, grandpa, twitch, grndpagaming highlights, gaming grandpa, old man plays pubg, grndpagaming twitch, grandpa plays pubg, Grandpa in PUBG, funny, battlegrounds, pubg funny moments, pubg, pubg old man, grndpagaming pubg, markiplier, ghrey, Apex, no scope, andy milanokis, doc, dr, live, division, BF2042, Battlefield2042, sniper, sniper gameplay",2024-01-31 03:00
"Turret Vs Snipers FACE in Battlefield 2042..","https://youtube.com/shorts/JhsUvGq0vzA",25213952,661650,2063,"SQUiD G+","All videos are taken from my MAIN channel SQUID G","",2023-05-16 08:27
"20 Year Veteran Grandpa Snipes 3 Players on a Rooftop in #grndpagaming #battlefield2042","https://youtube.com/shorts/e7x_yPgGriY",14927425,646296,9100,"GrndpaGaming","Socials and donations: https://linktr.ee/grndpagaming ""Grandpagaming Only YouTube  Fans"" memberships are  finally here!! Exclusive members only perks! Click here to join:  https://www.youtube.com/channel/UCQWVmYZE-JtI7BimgasRzTg/join Super Chat, Super Stickers, Customized GG emotes, VIP Access and SO MUCH MORE!  Like what you see and like to see more great content?  While other platforms take a fee on each donation,  ****  https://ko-fi.com/grndpagaming  DOES NOT!  **** What you donate goes directly to the creator without NO FEES on either end!  **100% Safe and secure, and a great way to support your favorite content creator!**  Come join all the Grandpa Sniper Club Antics https://twitter.com/Deneb1453 https://www.TikTok.com/@GrndPaGaming https://www.instagram.com/grndpagaming  OFFICIAL GrndPaGaming Gear Store: https://www.designbyhumans.com/shop/GrandpaGaming/","grandpa gaming, grndpa gaming, grandpa, twitch, grndpagaming highlights, gaming grandpa, old man plays pubg, grandpa gaming battlegrounds, grndpagaming plays pubg, grndpagaming twitch, grandpa gaming pubg, grandpa plays pubg, Grandpa in PUBG, funny, battlegrounds, pubg funny moments, pubg, pubg old man, grndpagaming pubg, markiplier, ghrey, Apex, no scope, andy milanokis, doc, dr, live, division, kamikazevondoom, kamikaze, outriders tank build, Hogwart",2024-01-18 12:18
"Camper left SHOCKED in Battlefield 2042..","https://youtube.com/shorts/hUo3oH_oszI",14493728,439369,2599,"SQUiD G+","","",2024-05-15 00:15
"A jogada mais lendária dos jogos #battlefield #lendaria #jogos #games #gamer #gaming #puckzito","https://youtube.com/shorts/iyKNuHvhhDc",13878961,1280406,8478,"Puckzito","","",2023-07-05 00:00
"When a Camper Finds the Entire Enemy Team!","https://youtube.com/shorts/DWMjFTA8g9U",13928212,413875,6296,"Maxiq","Hi my name is Max I stream 7 days a week and upload every other day. I only Play shooters Mainly Battlefield Games. Hope you enjoy your stay!  #shorts  #battlefield2042 #battlefield    ---Want to Support a little Extra---  DONATE https://streamlabs.com/maxiq MEMBER https://www.youtube.com/channel/UCmgOCibflFwaslTaKLP9Fzg/join  MERCH https://maxiqyt.creator-spring.com/  ---Settings--- Battlefield 2042 Settings: https://www.youtube.com/watch?v=3bVclnh-2cI Battlefield 5 Settings: https://www.youtube.com/watch?v=9H90g0E9VaA  Battlefield 1 Settings: https://www.youtube.com/watch?v=nFMhckyMg4g  ----SOCIALS---- 2ND CHANNEL https://www.youtube.com/channel/UCZARpe5ZcBnXtzFI7QyC9zA TWITTER https://twitter.com/MaxiqYT TIKTOK https://www.tiktok.com/@maxiqyt DISCORD https://discord.gg/cNchxpa   A big thank you to all the Members You guys are Legends!:  ***TIER 5*** proLegion Gavin, Ilicitano1975, Mr_KasT79, DTC058, CombatMedAres, Twenty6 Silent32, Dallas, Vex Edits, James Dorame, ShakeN001, TooGuud  ***TIER 4***  Sammiitery, Nolan dunn, Devin Lidberg, jilly_kk, TheDisabledMachine, Kevon Eason, MzudemS, somwhere, JayFz8, **TIER3*** AtlanDs1, RaBBiT-x3, starwatcher73, Hays R, [MxQ]Kdog, Kooperface, Duelist Mandroid, lolibus 347, Mikael Malmsten, Jonny Brezel, Splash, Devon De Los Santos, Toxxen 76, Stephen Heath (DarthPlagueis7), AFiercePanda, morrison, Bradley Ray, marlon schneider, Shiro Kush, Alan o'neill, Rodrigo Gressler, Zaalix, Stofflix, Coops, PROPER_CANADIAN, PianoEkket, BaseMDL, Milad.M, Vietnam PS4, howdy, Windys, Dr Acula,   A big thank you to the moderators: Reel_KasT79, TheDisabledMachine, Kdog, Jelly, Project -Toky-O, modsenE, Exotic, ShakeN001, JayFz8, Max G, JasonLives, DonnYTello, Jordy1-1, Chickencloth71   GovaertDesign (Max G) For doing the Designs on my channel & Twitter Stream graphics designed by Akshay R. C. (https://linktr.ee/arc_design)  Epic Sci-Fi Military by Infraction  ------- Song: Aliaksei Yukhnevich - End of the Abyss (No Copyright Music) Music provided by Tunetank. Free Download: https://bit.ly/2xtEXR1 Video Link: https://youtu.be/hoap3gfnrgo ------- (End of Abyss: https://tunetank.com/t/2cnn/621-end-of-the-abyss)  1K$ HALL OF FAME (Biggest single Donos I have ever gotten)  All Time Top Single Donation: Daniel Benz - $1225,75 DarkbotRules: $1050 Crispy Bacon: $1000 SAMMII: $1000   BF2042, battlefield 2042, BATTLFIELD 2042 LIVESTREAM, 2042, SNIPER GAMEPLAY, assault gameplay, bf2042 gameplay, SMG GAMEPLAY, shotgun gameplay, recon gameplay, vehicle gameplay, BETA gameplay, battlefield 2042 beta gameplay, livestream, gameplay, bf2042 settings, specialists, Portal Gameplay, Battlefield 2042 Portal, best player, ps5 gameplay, xbox gameplay, pc gameplay, crossplay, tank gameplay, jet gameplay, helicopter gameplay,livestream,gameplay,bf2042 settings,specialists,Portal Gameplay,Battlefield 2042 Portal,best player,ps5 gameplay,xbox gameplay,pc gameplay,crossplay,tank gameplay,jet gameplay,helicopter gameplay,#bf2042   , #battlefield2042   , #Gameplayy","BF2042, battlefield 2042, BATTLFIELD 2042 LIVESTREAM, 2042, SNIPER GAMEPLAY, assault gameplay, bf2042 gameplay, SMG GAMEPLAY, shotgun gameplay, recon gameplay, vehicle gameplay, BETA gameplay, battlefield 2042 beta gameplay, livestream, gameplay, bf2042 settings, specialists, Portal Gameplay, Battlefield 2042 Portal, best player, ps5 gameplay, xbox gameplay, pc gameplay, crossplay, tank gameplay, jet gameplay, helicopter gameplay, #BF2042, #Battlefield2042, #livestream",2023-04-07 19:19
"Snipers DESTROYED in Battlefield 2042..","https://youtube.com/shorts/WaWKpWQRFg4",11193549,293404,4393,"SQUiD G+","Full videos @SQUiD-G","",2023-09-28 05:00
"The BEST Start in battlefield 2042..","https://youtube.com/shorts/rf_p9uDlqHs",8578421,211301,852,"SQUiD G+","The BEST Battlefield 2042 clips on YouTube..","",2024-03-30 20:30
"Hijacking a JET in Battlefield 2042..","https://youtube.com/shorts/CxkMR9HjSWk",8033149,233761,1785,"SQUiD G+","The BEST Battlefield 2042 clips on YouTube.","",2024-01-27 02:00
