Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"Ex-Spec Ops Reacts To Call Of Duty Game","https://youtube.com/shorts/SlFafRdiyok",41159536,2158727,4743,"Tactical Beef","","",2025-03-13 06:30
"WHEN YOU PULL OFF THE SELF REVIVE - CALL OF DUTY WARZONE REBIRTH ISLAND","https://youtube.com/shorts/6aosSNGw3qg",29518049,381733,2017,"Goal Post68","#callofduty #cod #gaming #gamer #warzone #modernwarfare #blackops #callofdutymodernwarfare #callofdutymobile #videogames #youtube #memes #callofdutyblackops #codmw #battleroyale #streamer #codclips #callofdutywarzone #codwarzone #warzoneclips #callofdutymemes #callofdutyclips #codmemes #funny #gameplay #Warzone #CallOfDutyRanked #Streamers #FriendsGaming #GamingCommunity #PCgamging #OnlineGaming #youtube #youtubestream #youtubestreamer #resurgenceclips #VideoGameHumor #FunnyGameplay #GamingLaughs","",2024-07-29 01:55
"*NEW* Gun Noises for SMG's in Call of Duty?😂","https://youtube.com/shorts/kxwgUt0--vo",28277672,685496,12662,"JoshBarracks","*NEW* Gun Noises for SMG's in Call of Duty?😂 #MW3 #callofduty #JoshBarracks #shorts  I Turned Warzone Players into Pokemon  #Warzone #callofduty #JoshBarracks #shorts  Socials: Twitter: https://twitter.com/JoshBarracks Discord: https://discord.gg/FhBHmFJPfb TikTok: https://vm.tiktok.com/ZMdaDL2bQ/ Twitch: https://www.twitch.tv/JoshBarracks Merch: https://my-store-11579955.creator-spring.com/ Business Inquiries: JoshBaracksOfficial@Gmail.com  -------------------- Description Tags: mw3,mw3 gameplay,modern warfare 3,mw3 multiplayer gameplay,call of duty,mw3 multiplayer,mw3 trailer,mw3 2023,mw3 multiplayer beta,mw3 impressions,modern warfare iii,cod modern warfare 3,mw3 zombies,mwiii,joshbarracks,mw3zombies,modern warfare 3 zombies,call of duty zombies,codzombies,Warzone funny,Cod funny,call of duty funny,gaming,Gaming funny,warzone memes,gaming memes,memes,funny memes,Gun Noises,Warzone,Bo6","mw3, mw3 gameplay, modern warfare 3, mw3 multiplayer gameplay, call of duty, mw3 multiplayer, mw3 trailer, mw3 2023, mw3 multiplayer beta, mw3 impressions, modern warfare iii, cod modern warfare 3, mw3 zombies, mwiii, joshbarracks, mw3zombies, modern warfare 3 zombies, call of duty zombies, codzombies, Warzone funny, Cod funny, call of duty funny, gaming, Gaming funny, warzone memes, gaming memes, memes, funny memes, Gun Noises, Warzone, Bo6, gaming funny",2024-10-24 05:52
"Phân cảnh đau lòng trong Call Of Duty Black Ops Cold War","https://youtube.com/shorts/KLFn5cXIEac",10626601,427084,4905,"ThangGm","","",2024-07-17 21:51
"Squalz Vs Toxic Egirl..☕💀 #shorts #cod #warzone #movement #squidgame #sniper #egirl #squalz #viral","https://youtube.com/shorts/bW674pLrqZI",10220211,317710,1363,"Squalz","","",2025-01-19 14:50
"NEW HALLOWEEN LEAKED OPERATORS 🔥 #mw3 #cod #rebirthisland #warzone #movement #callofduty #blackops6","https://youtube.com/shorts/aIxKNklYivA",8215949,0,1751,"spahz","#cod #callofduty #warzone   Like, comment and subscribe :)  Socials Twitter: https://twitter.com/spahzed TikTok: https://www.tiktok.com/@ytspahz Instagram: https://www.instagram.com/spahz_                                                  Twitch: https://www.twitch.tv/convinced Kick: https://kick.com/spahz                                                                              Call of Duty: Warzone 2.0 is a free-to-play battle royale video game developed by Infinity Ward and Raven Software for PlayStation 4, Play Station 5, Windows, Xbox One, and Xbox Series X/S. It is a sequel to 2020's Call of Duty: Warzone. The game is a part of 2022's Call of Duty: Modern Warfare Il and 2023's Call of Duty: Modern Warfare III, but does not require purchase of any of the parent titles. It was introduced during Season 1 of Modern Warfare Il content. The game features cross-platform play and a new extraction mode titled DMZ  #warzone #callofduty #rebirthisland #movement #warzonegameplay #cod #modernwarfare #settings #warzonesettings #mw3 #classsetup #mwiii #modernwarfare3 #warzoneclasssetup #vondel #warzone3 #rebirth #faze #fazeclan #fazekicked #warzone #callofduty #cod #ps #modernwarfare #gaming #gamer #twitch #xbox #warzoneclips #blackops #callofdutymodernwarfare #playstation #fortnite #codwarzone #battleroyale #codmw #streamer #callofdutywarzone #codclips #twitchstreamer #youtube #memes #xboxone #pc #bo #videogames #mw #games #game #warzonememes #apexlegends #coldwar #codmobile #pcgaming #battlefield #callofdutymobile #sniper #gta #follow #gamers #twitchaffiliate #gamingcommunity #callofdutyclips #gamergirl #pubg #codtopplays #tiktok #modernwarfareclips #codmemes #twitchtv #faze #clips #meme #gulag #war #funny #streaming #esports #callofdutyblackops   Tags: Warzone, Warzone 2, Warzone 3, Modern Warfare, Modern Warfare II, Modern Warfare III, MW, MW2 MW3, Call of Duty, Rebirth Island, Rebirth Resurgence, Rebirth, Resurgence, Fortunes Keep, Urzikstan, Vondel, Ashika Island, Warzone Ranked, Ranked Play, Search and Destroy, SND, CDL, Best Warzone Controller Settings, Best Warzone Graphic Settings, Best Warzone Audio Settings, Best Warzone Settings, Best Warzone Movement Settings, Best Warzone Controller Settings for Movement & Aim, Claw Movement, Controller Movement, YY, Lionxo  Movement, YY, Movement, Warzone Movement, MW3 Movement, Slide Cancel, B-hop, Warzone Movement Guide, Warzone Gameplay, Warzone Settings, High Sensitivity, Low Sensitivity, Best Nvidia Filters, Movement King, The Real Movement King, Lion Warzone, Lion Movement, Lion, Warzone Loadout, Best Warzone Loadout, Best Warzone Class Setup, Best MW3 Class Setups, Best Warzone Class Setups For Movement & Aim, Best Warzone Movement Class Setups, Cheat, Hack, Aimbot, Wall hacks, Warzone Movement, Smooth Warzone Movement, Modern Warfare SND, Resurgence, Movement SMG, Ranked Warzone, Max Sensitivity Movement, Max Sensitivity Controller Settings, Low Sensitivity Movement, Lion, Smooth Movement, Low Sensitivity Controller Settings, Smooth Movement Controller Settings, Dynamic Aim Curve, Cheating, DS4 Windows, Controller Aim, Aim Assist, Scale Aim Assist With FOV, 240 hz, 120 FOV, Youtuber, Rebirth Settings, COD, Best Warzone Filters, DS4 Settings, Killing Twitch Streamers With Movement on Warzone","mw2, cod, modernwarfare, saxzu, zurly, movement, warzone, loadout, meta, chqser, mw3, cod mw3, #cod, #warzone, #classes, #yy, jvert, marnz, movement demon yy, mcrd, #esports, Lionxo, bo6, Console, Ps5, Twitch, Streamers, Smooth, Warzone gameplay, Movement guide, Call of duty, Class setups, Best class, Yy movement king, Ds4 settings, Black ops 6, Black ops 6 beta, Omni movement, Modern warfare 3, Movement settings, Movement king, Chqser settings, Sazkor, Nahv settings, Spahz, Rebirth, gta, gta6, Season6",2024-09-19 05:19
"Attempting a PERFECT Lego Call of Duty Ghost and Soap #lego #callofduty #cod","https://youtube.com/shorts/CwphlAa9P6Q",7040952,326628,1663,"FinCantBuild","","",2024-09-30 00:27
"This Uncle Streamer thought he could kill me..😭 #cod #warzone #movement #squidgame #squalz #viral","https://youtube.com/shorts/v1GO1_Cxe5Q",7344949,138683,378,"Squalz","","",2025-01-22 08:21
"Remember these Jumps in Call of Duty? #nostalgia","https://youtube.com/shorts/SMivuj7IPYY",6054576,181926,2915,"Zelta","#MW3 #warzone #callofduty  WATCH ME LIVE! https://www.twitch.tv/zelta Twitter : https://twitter.com/SoaRZelta Discord :  https://discord.gg/QMvjaMbdYg            Ignore  Warzone, Warzone2, Gaming, Call of Duty, Cod, Nostalgia, Cod Nostalgia, Cod4, WaW, World at War, Call of Duty 4, MW2, Modern Warfare 2, COD MW2, Black Ops, Black Ops 1, Call of Duty Black Ops, Black Ops 2, call of duty black ops 2, bo2, black ops 3, call of duty black ops 3, bo3, cod ghosts, black ops cold war, black ops 6, cod black ops 6, MW3, modern warfare 3, cod mw3, call of duty modern warfare 3, call of duty modern warfare iii, modern warfare 3 gameplay, mw3, mwiii, cod mwiii, gamer, sniper, sniping #MW3 #warzone #callofduty","call of duty, cod, mw3, modern warfare 3, mwiii, modern warfare iii, mw3 camo, mw3 sniping, sniping, cod mw3, cod mwiii, call of duty mw3, call of duty mwiii, bo2, black ops 2, warzone, call of duty warzone, cod4, mw2, modern warfare 2, world at war, nostalgia, shorts, black ops, black ops 1, bo1, call of duty black ops 2, rebirth island, best settings, cod nostalgia, call of duty nostalgia, wake up bro its 2009, wake up bro its 2010, wake up bro its 2011, wake up bro its 2012",2024-07-02 04:25
"NickEh30 makes Call of Duty family friendly","https://youtube.com/shorts/TfIwAkNQKTk",6026884,191536,892,"Nick Eh 30 Shorts","Can we keep it family friendly and no swearing in Call of Duty Black Ops 6?  ━━━━━━━━━━━━━  My Official Fortnite Maps (https://www.fortnite.com/@nickeh30)  🎢 Fortnite Funland 2 ➔ 2057-3742-0636 🔴 Red vs Blue Minigames ➔ 9333-1477-2716 ⚔️ Streamer Zone Wars ➔ 4716-2337-7573 ⚔️ Klombo Wars (Zero Build) ➔ 5087-4245-0507 🏁 King's Road ➔ 9310-8243-9088 🎇 OnlyUp Live Events ➔ 1350-8290-6429  ━━━━━━━━━━━━━  🎮 YOUTUBE (MAIN) ➔ @NickEh30  🎮 TWITCH ➔ https://www.Twitch.tv/NickEh30  📷 INSTAGRAM ➔ https://Instagram.com/NickEh30  🐦 TWITTER ➔ https://Twitter.com/NickEh30  🎭 FACEBOOK ➔ https://Facebook.com/NickEh30  📽️ TIKTOK ➔ https://www.tiktok.com/@nickeh30  📱 DISCORD ➔ https://www.Discord.gg/NickEh30  🖼️ SNAPCHAT ➔ https://www.Snapchat.com/add/NickEh30  ━━━━━━━━━━━━━  ⌨️ My official NickEh30 keyboard, mouse, and deskpad ➔ https://ghostkeyboards.com/NickEh30   👕 My Official Nick Eh 30 Merch ➔ https://NickEh30.Shop  ━━━━━━━━━━━━━  📮 Send Nick Eh 30 mail:  Nick Eh 30 PO Box 31047 Gladstone Halifax, Nova Scotia B3K 5T9  • All mail/packages should be sent using Canada Post (not UPS, FedEx, etc.), please and thank you. 🙂  ━━━━━━━━━━━━━  #COD #BlackOps6 #Shorts","NickEh30, Nick Eh 30, shorts",2024-09-04 07:09
