Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"Clicking goes two ways","https://youtube.com/shorts/FOvuOEtZx9o",30130964,692647,608,"ESL Counter-Strike","The best way to watch Counter-Strike: http://esl.gg/FaceItWatchYT  Join the discussion: http://www.twitter.com/eslcs http://www.facebook.com/eslcs http://www.instagram.com/eslcs  http://www.twitter.com/iem http://www.facebook.com/iem  Watch live on Twitch: https://www.twitch.tv/eslcs  Get the latest ESL apparel: http://shop.eslgaming.com  Your leading Competitive Gaming Platform: https://www.faceit.com  Get free statistics for your matchmaking games with  http://csstats.gg/  #esl #cs2 #counterstrike","ESL, Counter-Strike, ESL CS, ESLCS, ESL CSGO, ESL Counter-Strike, IEM, IEM CS, IEM CSGO, CSGO, esportsisawesomesauce",2025-04-07 20:30
"Confusing the other team in CS2","https://youtube.com/shorts/tbouStVExOc",7903598,499758,924,"Duality","funny counter strike 2 moment #cs2clips #cs2 #counterstrike #funny","",2024-10-12 01:24
"Counter-Strike Voice Changer Trolling 💀 - Collab with @KryptekMuted","https://youtube.com/shorts/pnW6C4852MI",6025503,369444,1126,"Voice Changer Guy","I used voice.ai to voice troll in CS 2 🤣 In Collab with  @KryptekMuted   - https://linktr.ee/kryptek15 #voiceai #voicetrolling #cs2 #csgo","",2024-06-11 01:00
"How SURFING was Invented in Counter-Strike! #cs2 #counterstrike #csgo","https://youtube.com/shorts/1ft_LAJ_RZs",5086928,347561,1000,"AirUpTop","How was SURFING Invented in Counter-Strike?  Today we cover that question by finding out it was invented by a user named Mariowned in Counter-Strike 1.6. Have you ever tried surfing, let me know in the comments!  TikTok: https://www.tiktok.com/@airuptop  Instagram : https://www.instagram.com/airuptop","",2024-12-20 11:08
"NiKo didn't have to do him like that 😭","https://youtube.com/shorts/j-EnpJ0OSxc",4642145,206701,324,"ESL Counter-Strike","The best way to watch Counter-Strike: http://esl.gg/FaceItWatchYT  Join the discussion: http://www.twitter.com/eslcs http://www.facebook.com/eslcs http://www.instagram.com/eslcs  http://www.twitter.com/iem http://www.facebook.com/iem  Watch live on Twitch: https://www.twitch.tv/eslcs  Get the latest ESL apparel: http://shop.eslgaming.com  Your leading Competitive Gaming Platform: https://www.faceit.com  Get free statistics for your matchmaking games with  http://csstats.gg/  #esl #cs2 #counterstrike","ESL, Counter-Strike, ESL CS, ESLCS, ESL CSGO, ESL Counter-Strike, IEM, IEM CS, IEM CSGO, CSGO, esportsisawesomesauce",2024-08-15 18:15
"Counter Strike 2 | Average 3am cs match😂💀 #gtx1050indonesia #cs2 #gtx1050ti","https://youtube.com/shorts/DLtbwF_cotg",4993700,176425,1335,"GTX 1050 INDONESIA","Please subscribe GTX 1050 INDONESIA :)   GTX 1050 TI 4 GB / Intel Core I5 4570 / 1920 x 1080 @60Hz /   PC Configuration: CPU : Intel Core I5 4570 3.2GHz VGA : Qwerty Nvidia GTX 1050 TI 4 GB DDR5 RAM  : HyperX DDR3 10 GB   MB : MSI H81M E33 LGA 1151 PSU : Deep Cool 500 Watt Silver 80+ Power Supply CPU Cooler : Deep Cool Gammax 200T Case : GameMax  HDD : Seagate 500 GB Barracuda SSD : Pioneer  240 GB OS : Windows 10  Recorded by Nvidia Shadow play Monitoring : MSI Afterburner , HW info  More Video Cs2 : https://www.youtube.com/watch?v=smEh8KbjlxY&list=PLqqGocJJI9zxP_LwNFeYst6Wx-5o01Qvk  #gtx1050ti #gtx1050indonesia #cs2   cs2 1050 ti,10100f i3 1050 ti,1050 ti cs 2,1050 ti cs2,1080 ti,counter strike 2 graphics comparison,cs 2 gtx 1050 ti,cs2 gtx 1050,cs2 gtx 1050 2gb,cs2 gtx 1050 ti,gtx 1050 2gb,gtx 1050 2gb cs2,gtx 1050 ti cs 2,gtx 1080 cs2,i3 10100f cs2,i3 9100f gtx 1050 ti,counter strike 2,counter-strike 2,cs2 gpu benchmark,cs2 fps test,cs2 gpu or cpu,cs2 fps comparison,cs2,cs2 frame rate,gtx 1080 ti,gtx 1050 counter strike 2,gtx 1050 ti,comparison","cs2 1050 ti, 10100f i3 1050 ti, 1050 ti cs 2, 1050 ti cs2, 1080 ti, counter strike 2 graphics comparison, cs 2 gtx 1050 ti, cs2 gtx 1050, cs2 gtx 1050 2gb, cs2 gtx 1050 ti, gtx 1050 2gb, gtx 1050 2gb cs2, gtx 1050 ti cs 2, gtx 1080 cs2, i3 10100f cs2, i3 9100f gtx 1050 ti, counter strike 2, counter-strike 2, cs2 gpu benchmark, cs2 fps test, cs2 gpu or cpu, cs2 fps comparison, cs2, cs2 frame rate, gtx 1080 ti, gtx 1050 counter strike 2, gtx 1050 ti, comparison",2025-02-28 01:57
"Tyler1 wants pops on the mic 😂 #tyler1 #fyp #tyler1shorts #csgo #cs2 #h1z1 #counterstrike","https://youtube.com/shorts/DrM-KD7KYtI",8303581,293625,1668,"Clips4You","","",2025-05-03 00:53
"Позиции на Мираже - Часть 2 #counterstrike #csgo #ксго #cs2 #gaming","https://youtube.com/shorts/yAiVD4GDlF0",4093381,139486,685,"FREAK PEEK","#counterstrike #csgo #ксго #cs2 #gaming","csgo, cs go, counter strike, games, freakpeek, freak peek, counter strike 2, кс2, ксго",2024-09-12 01:59
"Любимый просвет на Dust 2 #ксго #csgo #counterstrike #cs2","https://youtube.com/shorts/JpLzF24SVc4",4155239,123950,144,"FREAK PEEK","","",2024-10-19 23:54
"😧ПОЧЕМУ НИКТО НЕ ИГРАЕТ С ЭТИМ ПИСТОЛЕТОМ В CS2","https://youtube.com/shorts/L2kJWxcIpM8",2976864,91869,1629,"Шейми","😧ПОЧЕМУ НИКТО НЕ ИГРАЕТ С ЭТИМ ПИСТОЛЕТОМ В CS2","",2024-06-06 21:00
