Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"$1 vs $300 Watergun!","https://youtube.com/shorts/tJH2yXgfdrs",95463933,3648569,2712,"Jesser","#shorts","jesser, cheap vs expensive, $1 vs $1000, watergun, water pistol, best water guns, compare, which is better, shorts, youtube shorts",2024-06-03 06:02
"Giant Fortnite Foods ASMR!? 🤤⛏️","https://youtube.com/shorts/oMs94ciMKaw",26966603,511000,2934,"Spizee","","",2025-02-12 23:16
"When Clix Got Scammed in a Fortnite Tournament","https://youtube.com/shorts/mnLElZT6EXM",15117902,469281,1104,"SypherPK","When Clix Got Scammed in a Fortnite Tournament  #fortnite  #sypherpk #shorts","fortnite, fortnite battle royale, competitive, gaming, highlights, gameplay, fortnite highlights, fortnite tips, stream highlights, how to play, fortnite gameplay, sypher, new update, sypherpk, fortnite update, fortnite new patch, fortnite new item, everything epic didnt tell you, fortnite new update, fortnite leaks, fortnite event, mr beast fortnite, undercover, fashion show, Fortnite chapter 5, asianjeff",2024-07-03 06:30
"This Glitch Breaks Fortnite","https://youtube.com/shorts/KW5cotP9OyE",11836374,539124,1577,"LazarBeam","","fortnite, lazarbeam",2025-02-24 13:40
"Fortnite Dances vs Real Life🙂Pt-3","https://youtube.com/shorts/FLONH9hK9Gk",22401199,233814,750,"MR RAVE ","Fortnite Dances vs Real Life🙂Pt-3  Subscribe for Daily Videos😁🔥  #Fortnite​​​​​​​​​​​​​​​​​​​ #Shorts​​​​​​​​ #fortniteshorts   code ""RAVE231"" to support me!💜  What do you wanna see next?","fortnite, chun-li, shorts, fortnite shorts, fortnite memes, fortnitememes, Transitions, Clean, Cleanest Transitions, Fortnite Transition, Cartoon vs Fortnite Dances, Fortnite Dances vs Real Life Pt-3, MR RAVE",2025-05-23 20:42
"Fortnite in 2018 vs 2024.","https://youtube.com/shorts/nG3RmCyd404",10139046,324348,651,"Hew Moran","Fortnite in 2018 vs 2024.  Subscribe or Fortnite Kid will crank 90s on you! https://www.youtube.com/@HewMoran  Hey there! I'm Hew Moran, a content creator who combines my passion for gaming, YouTube, and comedy into skits you’ll find hilariously relatable. On my channel, you'll see videos about funny everyday moments, like Fortnite kids thinking Fortnite invented everything, the highs and lows of being the youngest child vs. oldest sibling, and so much more. My favorite games include Minecraft, Fortnite, and GTA, and I grew up inspired by YouTubers like Rhett & Link, MrBeast, and Logan Paul. Now, I'm thrilled to be creating alongside amazing creators like Dimucc, Corey Tonge, Greg Renko, Ian Boggs, Luke Davidson, and others. Subscribe for laughs, relatable moments, and a new spin on gaming and life!","",2024-08-25 04:21
"Who Is The OLDEST Fortnite Skin? 👴","https://youtube.com/shorts/RNiCjvuDWBk",9958050,332553,3771,"Aid","#fortnite #shorts #fortnitememes Who Is The OLDEST Fortnite Skin? 👴  inspired by @LittlestSnail ! go subscribe all love  CREATOR CODE: aid to support daily videos like this! #epicpartner   👉HAVE A GREAT DAY!    CATCH-ALL OUR SOCIALS ➜ https://y.at/😱💎💎  JOIN OUR DISCORD FOR GIVEAWAYS! ➜ https://discord.gg/gSHdJCeFNned","fortnite, fortniteemote, fortnite meme, fortnite battle royale, fortnite update, fortnite event, update, skins, battlepass skins, new map, fortnite funny, epic games, fortnite gameplay, new update, fortnite leaks, fortnite season, fortnite glitch, xp, battle pass, event, fortnite leak, tier 100, fortnite xp map, battle pass overview, season 5, old map, leak, fortnite og, og map, xp map, lego, season 2, fortnite greek, star wars, fortnite may the 4th",2024-08-06 03:37
"MASSIVE Fortnite Glitch","https://youtube.com/shorts/ToLA662Nrms",9489282,470929,3705,"LazarBeam","","",2025-02-28 12:15
"The Oldest Fortnite Win Ever Recorded","https://youtube.com/shorts/4LtEII85TXU",8715427,560176,1347,"SypherPK","The Oldest Fortnite Win Ever Recorded  #fortnite  #sypherpk #shorts","fortnite, fortnite battle royale, competitive, gaming, highlights, gameplay, fortnite highlights, fortnite tips, stream highlights, how to play, fortnite gameplay, sypher, new update, sypherpk, fortnite update, fortnite new patch, fortnite new item, everything epic didnt tell you, fortnite new update, fortnite leaks, fortnite event, mr beast fortnite, undercover, fashion show, Fortnite chapter 5, asianjeff",2024-07-29 00:00
"Godzilla Evolved Fortnite doing Built-In Emotes, Episode 1","https://youtube.com/shorts/cffBer-M3-c",8109617,220694,1144,"Refortniter","Fortnite Godzilla Evolved Skin doing Glitched Built-In Emotes and Funny Meme Dances! Full Video https://youtu.be/iuAqzC8WdrI Use Code REFORTNITER.ART to support me, thank you! |-|/-\\/E F|_||\| シ  Thanks for every Subscription 🔔 https://www.youtube.com/channel/UCakouq_F03oWjMR4QYCfppg  Like 👍, Share, and Comment ✍Your support is greatly appreciated!  #Fortnitechapter6 #fortnitefunny #godzilla #epicpartner","godzilla fortnite, fortnite, Fortnite Chapter 6 Season 1, fortnite chapter 6, godzilla fortnite emote, fortnite godzilla evolved, fortnite og, godzilla, fortnite xp map, fortnite glitches chapter 6, fortnite glitches, godzilla in fortnite, glitches fortnite, fortnite godzilla",2024-12-02 09:00
