Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"Can you guess the VALORANT rank..?","https://youtube.com/shorts/n2SW6JQJNlY",7125412,277447,822,"100 Thieves Valorant","Would you have guessed his rank? #valorant","",2025-03-12 04:42
"How to make a Recoil Crosshair 🗿","https://youtube.com/shorts/u1CYRrGvYR4",6960731,159336,728,"Centerpoint Gaming","#crosshairx #valorant #valorantcrosshair #aimtraining","",2025-05-02 02:30
"Arrêtez d'être des fous svp... #helydia #pourtoi #valorant #twitch","https://youtube.com/shorts/wL5lfUxOxoc",5256319,157267,988,"Helydia","Contact : Contact@Helydia.fr  💖 S'abonner ➜ https://www.youtube.com/@helydiaa   🎥 Twitch ➜ https://www.twitch.tv/helydia 🐤 Twitter ➜ https://twitter.com/helydiaa ⚫ TikTok ➜ https://www.tiktok.com/@helydiaa 📷 Instagram ➜ https://www.instagram.com/helydiaa/ 🔵 Discord ➜ https://discord.gg/hely","helydia, helydia valorant, best of valorant, best of gaming, helydia best of, valorant fr, valorant, valorant clip fr, pourtoi, fyp, tiktok, tiktokfr, valorantclips, shorts, viral, drôle, twitch, twitchclips, flamby, compilation",2025-04-14 03:05
"발로란트 제트  마인카트","https://youtube.com/shorts/4OXaUIsW3nY",4895077,67736,557,"Fake Valorant 페발","#발로란트 #마인크래프트 #valorant #minecraft  Link List: https://linktr.ee/FakeValorant (Discord) 링크모음: https://linktr.ee/FakeValorant (디스코드)","#valorant, #발로란트, #minecraft, #마인크래프트",2025-03-23 15:05
"Prenerf Neon be like #valorant","https://youtube.com/shorts/QP9E2FIqBuA",4021663,118970,253,"Keybee Animation","Neon Valorant","",2025-04-10 03:12
"most broken agent in valorant 😂","https://youtube.com/shorts/G1jHd8iMaKI",2773208,167054,424,"Grim Shorts","** FOLLOW ON TWITCH ** 👉 https://bit.ly/GrimShortsTV   LIKE 👍 and SUBSCRIBE ❤️ if you enjoyed this video: https://bit.ly/GrimShortsSub  Don’t forget to ring the 🔔 Bell 🔔 so you never miss a video!   In this Valorant gameplay, Grim plays Sage. First, he shows off why Sage is so good. Later on, he's forced to clutch for his team. Towards the end, he shows why he's the best Sage in Valorant. Watch till the end to see what happens!  All Valorant highlights are taken from Radiant/Immortal games, tournaments, and scrims. Join us on Twitch to watch the gameplay live 👉 https://bit.ly/GrimShortsTV   📈 Check out my producer: https://bit.ly/RileyCardwell   #Grim #Valorant #Shorts","grim, grimlive, grim shorts, sage, sage valorant, valorant sage, sage walls, sage walls valorant, valorant sage walls, sage shorts, valorant radiant, radiant valorant, pro valorant, valorant pro, funny valorant, valorant funny, valorant funny moments, valorant moments, valorant highlights, valorant ranked, ranked valorant, immortal valorant, valorant immortal, valorant gameplay, valorant",2025-03-04 23:00
"VALORANTで同級生と遭遇！？【らっしゃー】","https://youtube.com/shorts/hAFzJG0inj0",4662676,74044,161,"らっしゃー ch","チャンネル登録・高評価・フォローよろしくお願いします！  ○●------------------------------------------------------------------------●○  ・rassya X(Twitter) : https://twitter.com/Ray_Itme  Twitch : https://www.twitch.tv/rassya12  PC提供 : KarasuGaming 使用PC : https://karasugaming.com/products/ryzen7-9800x3d-rtx5080-%E9%BB%92%E9%B4%89-04 購入時にクーポンコード「rassya」を入力すると¥1000オフ！ KarasuGaming公式サイト : https://karasugaming.com  ○●------------------------------------------------------------------------●○  ・編集 Xandrite, まいん  ○●------------------------------------------------------------------------●○ #shorts","rassya, らっしゃー, 顔芸",2025-05-19 18:16
"J'ai viré mon monteur pour ça #helydia #pourtoi #valorant #twitch","https://youtube.com/shorts/YwCNU4rGMXw",2852128,102194,518,"Helydia","Contact : Contact@Helydia.fr  💖 S'abonner ➜ https://www.youtube.com/@helydiaa   🎥 Twitch ➜ https://www.twitch.tv/helydia 🐤 Twitter ➜ https://twitter.com/helydiaa ⚫ TikTok ➜ https://www.tiktok.com/@helydiaa 📷 Instagram ➜ https://www.instagram.com/helydiaa/ 🔵 Discord ➜ https://discord.gg/hely","helydia, helydia valorant, best of valorant, best of gaming, helydia best of, valorant fr, valorant, valorant clip fr, pourtoi, fyp, tiktok, tiktokfr, twitch, twitchclips, valorantclips, valorantclipsfr, shorts, viral, valorantfr, drôle, compilation",2025-04-02 03:30
"INSANE NEW WAYLAY TECH💀 #valorant","https://youtube.com/shorts/u-9zBWmQ0Hk",2298179,56844,151,"crop","","",2025-03-16 21:34
"Aunque conozco alguno como el primero 😅 #valorant #esports #valorantclips #valorantmemes","https://youtube.com/shorts/wzogNgzl4K8",3464663,85325,474,"LEVIATAN","","",2025-05-21 02:13
"That's an obvious fake right? #valorant #valorantclutchmoments #valorantclips #valoranttips #gaming","https://youtube.com/shorts/jARbsNJhhOw",3140713,88676,236,"SoCool","","",2025-05-21 07:46
"valorant is a tactical shooter ☠️","https://youtube.com/shorts/zcxKL7fUs3o",2982398,85400,168,"Premeski","valorant is a tactical shooter ☠️  Twitter: https://www.twitter.com/premeski_ TikTok: https://www.tiktok.com/@premeski Twitch: https://www.twitch.tv/premeski  Jett and Reyna are the main agents I play on Valorant -  I showcase my aim, as well as my aggressive plays in Immortal/Radiant lobbies. I take advantage of their unique movement abilities to confuse my enemies and make them rage! If you enjoyed this video, be sure to like and subscribe. Hope you all have an amazing day :)  Sens: 1600dpi 0.26 Res: 1920x1080 240hz  #Valorant #Montage #ValorantMontage #valorantclips #valoranthighlights #valorantgameplay #lowsens #aimbot #immortal #radiant #highlights #shorts #jett #valorantjett #premeski","valorant, valorant highlights, valorant montage, valorant moments, valorant gameplay, valorant aim, valorant immortal, valorant tips and tricks, valorant tips, valorant guide, valorant radiant, calm aim, valorant vct, valorant clips, valorant crosshair, valorant calm aim, valorant competitive, valorant aim guide, valorant aim routine, smooth aim, valorant reyna, valorant funny, valorant montages, calm aim valorant, premeski, best sens valorant, cjaiye, tenz, temet, jett, shorts",2025-03-31 23:00
