Title,Views,Published,Link
"My Teachers Are TOO STRICT!",9291008,2025-05-26 21:00,"https://youtube.com/shorts/U2yTes7GON0"
"The Richest Dog 😱",5506667,2025-05-27 12:30,"https://youtube.com/shorts/W_ihLcZEZok"
"異常な早さで給食を食べる先生たちは#shorts #先生 #学校",4190211,2025-05-26 18:00,"https://youtube.com/shorts/AYMyr6xffsM"
"cuando estás mutando",3167044,2025-05-27 07:12,"https://youtube.com/shorts/phTNq2Q61Wg"
"Ms Dhoni last mastermind in IPL 2025☠️ ft. Jadeja, Dube and Dhoni #cricketlover #trending",2411979,2025-05-26 18:19,"https://youtube.com/shorts/SMh0GiFIJcw"
"Sigma Trick: Full Pepsi From Empty Bottle 😤🥤⚡️",2886967,2025-05-26 21:24,"https://youtube.com/shorts/pHc_hPCmdyQ"
"Leftover Egg Whites? Make PAVLOVA!",2034697,2025-05-26 05:31,"https://youtube.com/shorts/vIHZiSl7llQ"
"Todo Fue Solo un Sueño? 😭",2311329,2025-05-27 07:47,"https://youtube.com/shorts/9sZZ-EKt36A"
"Sindhu Bairavi Kacheri Arambam | 27th to 30th May 2025 - Promo",1124713,2025-05-27 16:27,"https://youtube.com/shorts/fMiAAuWtYAY"
"QUANDO A MÃE RAIZ PRECISA SÓ DO OLHAR",2153049,2025-05-27 08:00,"https://youtube.com/shorts/GcJ4-TL4F3Q"
"息子が誘拐されたけど… #shorts",1956472,2025-05-26 15:00,"https://youtube.com/shorts/hWMYooh99Jo"
"米国製の万能テープ",1856230,2025-05-26 13:00,"https://youtube.com/shorts/SAEf0eL5BeQ"
"【バリカタNG】このお店では絶対に『バリカタ』と言わないでください",1703184,2025-05-26 19:07,"https://youtube.com/shorts/uJl_rp1zpws"
"Quemadura por acido desconocido.#supervivencia #sabiasque #curiosidades",1392213,2025-05-27 03:54,"https://youtube.com/shorts/tV4POJPuxP0"
"お金トラブルで友達やめた時…#あるある #カップル #shorts",1646278,2025-05-26 19:00,"https://youtube.com/shorts/Cy8eGRJoO08"
"This PET is WORTH $300 TRILLION!",1700367,2025-05-27 05:00,"https://youtube.com/shorts/6ruauxUA-Zc"
"しばり跡の残らない髪の毛の結び方",1627110,2025-05-26 17:00,"https://youtube.com/shorts/ZpEYVwBVffc"
"Eagle 5 Erownie Kayzer",1508378,2025-05-26 23:00,"https://youtube.com/shorts/3eb2saHlbbo"
"Can Vader PREDICT What's In A Chest?",1404832,2025-05-27 03:53,"https://youtube.com/shorts/3yfH75pQlPI"
"PAISES QUE A MIA JÁ FOI 🌎 #viagem",2414729,2025-05-27 08:02,"https://youtube.com/shorts/gueOWLdyaO4"
"有名アニメの耳を疑う発言がヤバすぎるww  #アニメ #ドラえもん #妖怪ウォッチ #はなかっぱ",1188863,2025-05-27 13:15,"https://youtube.com/shorts/UbgFAnva0tw"
"WHOLE different game 😭 #Fortnite",1052139,2025-05-27 13:05,"https://youtube.com/shorts/jdaGzAdthLE"
"TRAINED vs UNTRAINED…",1061823,2025-05-26 23:00,"https://youtube.com/shorts/2Hx_tPsswT0"
"Uzak Şehir 28. Bölüm 1. Tanıtım (Sezon Finali) | ""Canım Zaten Hep Yanıyor..."" #shorts",1015118,2025-05-27 06:29,"https://youtube.com/shorts/-nZ50QzBP0U"
"Malli Serial | Episode 389 Promo | 27th May 25 | Nikitha | Vijay | Saregama TV Shows Tamil",515079,2025-05-27 00:30,"https://youtube.com/shorts/4AkvXSbFv1I"
"いつも遅刻する友達VS時間通りな友達",974593,2025-05-26 19:19,"https://youtube.com/shorts/qBYSiS9UdxA"
"勉強が人生に役立つ瞬間 3選#shorts",973240,2025-05-26 19:42,"https://youtube.com/shorts/AFgQo8eF3Yo"
"Every Dog Gets One Free Bite #funfact",856805,2025-05-27 01:00,"https://youtube.com/shorts/Fx1Aab4XCUA"
"How to give CHOCOLATE to your friend properly?😎❤️🍫| CHEFKOUDY",944245,2025-05-27 06:08,"https://youtube.com/shorts/Oe2M_oxsL_o"
"Odiaba a La Morra CASTROSA del Salón 😱😱",797428,2025-05-27 06:36,"https://youtube.com/shorts/DO7Cblpmzdw"
"what did this latest vinyl album do to them #shorts",836770,2025-05-27 04:00,"https://youtube.com/shorts/0GMslUXNgVA"
"Schools deciding what to feed 😂",900925,2025-05-27 10:31,"https://youtube.com/shorts/GwIpFNl6faE"
"最強の固いお菓子はどれ？",713750,2025-05-26 20:00,"https://youtube.com/shorts/bMyZpfgf7QQ"
"Kuruluş Osman 193. Bölüm 2. Fragmanı",376327,2025-05-27 03:02,"https://youtube.com/shorts/rPof5rr-Ti8"
"¿Te pico? 😳 #Sonrixs",818853,2025-05-27 11:39,"https://youtube.com/shorts/JhI_rREVjYQ"
"Tutorial da MÁGICA DO GARFO QUE ENTORTA",542469,2025-05-26 23:15,"https://youtube.com/shorts/0O5t8gvY6hc"
