Title,Views,Published,Link
"not all animals are cuddle material #creepy #scary #wild #cats #dominant #predator #apex",48053246,2025-04-13 12:39,"https://youtube.com/shorts/LUIBtC8nbOg"
"I Opened 50 Apex Packs at Once #shorts",5112001,2024-11-08 05:24,"https://youtube.com/shorts/Id-QJD3WfR4"
"I Got Banned in Apex Legends... 😭",7622814,2025-04-17 20:36,"https://youtube.com/shorts/tqL3-7ixz8U"
"【Apex】最高ランクプラチナ女子まさかの実力に会場啞然… #エイペックス #エーペック #エーペックスレジェンズ",3991659,2024-09-10 18:00,"https://youtube.com/shorts/6ubihXgh_6U"
"【Apex】志願者「プロとか余裕です」センチネルで無双する志願者がヤバい… #エイペックス #エペ実況 #エーペックスレジェンズ",4069847,2024-08-30 19:00,"https://youtube.com/shorts/bmGoRPEgU8M"
"APEXの大将軍と言われた漢wwwww#shorts  #おもしろ動画#apex #ゲーム#ps5 #fps #最強#アニメ#キングダム#王騎将軍#王騎#景色#声真似#ネタ",3249465,2024-08-04 18:14,"https://youtube.com/shorts/hmcL4yWSYVU"
"㊗️220万回再生！！APEXで野良にVtuberバレした結果「彼氏面」される常闇トワ #shorts #ホロライブ切り抜き 【 #常闇トワ 】",2399115,2025-03-22 16:45,"https://youtube.com/shorts/QmeFRIDSWY0"
"How hard is #1 Apex Predator to hold? #shorts",2065280,2025-03-23 12:52,"https://youtube.com/shorts/6wFWoMy_HXM"
"さすがに皆に出来て欲しいキャラコン３選【APEX LEGENDS】#shorts",1516613,2024-08-01 19:00,"https://youtube.com/shorts/LaJigLKwsBg"
"【APEX】野良の名前を検索した結果wwwww #shorts",1362134,2025-03-05 17:00,"https://youtube.com/shorts/pcxNxuyVzvY"
"The Craziest Cheats In Apex Legends History",1532527,2024-10-29 04:26,"https://youtube.com/shorts/b8AZaixJ6Bc"
"switch勢くんさぁ【Apex】",2387290,2025-04-07 18:00,"https://youtube.com/shorts/TxeLRQtk0H4"
"5 Custom Heirlooms in Apex Legends!",1299458,2024-07-22 02:11,"https://youtube.com/shorts/yOnTA7wRi7w"
"プレデター自慢をする配信者www【APEX LEGENDS】#shorts #りー",1678282,2025-03-01 23:48,"https://youtube.com/shorts/0NCIkJEWTQg"
"行くぞ！ＩＱ２００空中ポータル！ｗｗｗｗｗｗ [APEX] #shorts",2022220,2025-04-20 18:00,"https://youtube.com/shorts/5Ns50GQMJBg"
"Apex CONTROLLER Players NEED To Use This NOW",1254555,2024-12-11 01:29,"https://youtube.com/shorts/yzPneIsb7Tg"
"APEX PREDATOR Y EL RELOJ DE ARENA R.E.P.O. FIGURAS #Shorts #Coleccion",2534085,2025-05-05 06:05,"https://youtube.com/shorts/kHvdj2JNXbE"
"今さらL･Rボタンの意味を知るボドカ【APEX】",1708563,2025-04-27 18:01,"https://youtube.com/shorts/v5-VzKenz6c"
"【Apex Legends】　上手さよりもきもさを大事に　 #shorts",2132061,2025-04-24 17:30,"https://youtube.com/shorts/fVlJFv91qQY"
"フィニキャンゴースティングを完全成敗する男【ボドカ】【APEX】",1030295,2025-02-25 18:00,"https://youtube.com/shorts/9uT_Qz2iWjk"
"キャラコンが3倍やりやすくなる裏技【Apex Legends】豆知識，設定 #Shorts",1011803,2024-12-09 17:17,"https://youtube.com/shorts/fmjvClE7_Qg"
"全員スキャンはえぐすぎるｗｗｗ【APEX LEGENDS】 #apex #apexlegends #エーペックス",1809002,2025-05-10 12:01,"https://youtube.com/shorts/wsmYG4x4kSg"
"Sparrow is the best movement legend #apexlegends #apex #apexlegendsclips #apexmovement",1661521,2025-05-09 10:37,"https://youtube.com/shorts/jhmsjGHtXFw"
"9万円のPCでAPEX LEGENDSは出来るのか?? #shorts #mdlmake #apexlegends",936662,2025-01-03 20:04,"https://youtube.com/shorts/wVeLTxA-1vc"
"【Apex Legends】　黙って殴り笑って落下　 #shorts",1677934,2025-05-06 18:30,"https://youtube.com/shorts/jn6OyYCyJTI"
"#apex #heirloom #bloodhound #wraithheirloom #bloodhound #wraithheirloom #raptorclaw",1559988,2025-04-25 10:21,"https://youtube.com/shorts/GYT90YDB1K0"
"SPARROW MOVEMENT IS CRAZY 😲",1546317,2025-05-07 20:54,"https://youtube.com/shorts/xvZP2hpugiU"
"信じられないくらい無駄のない有料級のスパロー小技動画【APEX】#shorts",1547147,2025-05-10 15:34,"https://youtube.com/shorts/G8SY0miUCSg"
"How many Apex Predators Cheat? #shorts",1390213,2025-04-02 10:51,"https://youtube.com/shorts/IrA-Psy1QJ4"
"㊗️120万回再生！！ApexでVtuberバレし姫プを目論む夏色まつり #shorts #ホロライブ切り抜き 【 #夏色まつり 】",1325038,2025-04-10 16:45,"https://youtube.com/shorts/kRlV99oiR8c"
"新ボセックボウの豆知識を解説 | apexlegends #apex #shorts",1377655,2025-05-13 07:00,"https://youtube.com/shorts/WO35rGsc4Ko"
