Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"行くぞ！ＩＱ２００空中ポータル！ｗｗｗｗｗｗ [APEX] #shorts","https://youtube.com/shorts/5Ns50GQMJBg",2061694,16457,57,"ハチミツapex","#apex #apexlegends #エーペックスレジェンズ","#apex, #apexlegends, #エーペックスレジェンズ",2025-04-20 18:00
"【Apex Legends】　上手さよりもきもさを大事に　 #shorts","https://youtube.com/shorts/fVlJFv91qQY",2149323,14041,122,"ぺんぎんです","#エーペックスレジェンズ #エーペックス #ゆっくり実況   動画の編集方法など参考にさせていただいた方 @おぐみちゃん  録画ソフト→OBS 編集ソフト→YMM4＋Aviutl  差材提供サイト ◎全曲無料・フリー音楽素材/魔王魂様→http://maoudamashii.jokersounds.com/ ◎DOVA-SYNDROME様→https://dova-s.jp/ ◎効果音ラボ様→http://soundeffect-lab.info/  この動画は東方Projectの二次創作です。原作に無い設定が多く含まれます。  ■東方Project：二次創作ガイドライン https://touhou-project.news/guideline/  ■立ち絵素材：きつねゆっくり http://www.nicotalk.com/charasozai_kt...  ■立ち絵素材：素材規約 http://www.nicotalk.com/kiyaku.html#g...   ■AquesTalk：ゆっくりボイス https://www.a-quest.com/","",2025-04-24 17:30
"実はダメージが入る行動5選を解説 | apexlegends #apex #shorts","https://youtube.com/shorts/djQS2mOaEF4",1343477,12653,127,"もつくFPS","APEXの動画や配信をしますよろしくお願いします プラチナダイヤを行き来しています 別ゲーム用youtubeチャンネル : https://www.youtube.com/c/motsuku twitter : https://twitter.com/nikomotsuku メンバー登録はこちらから https://www.youtube.com/channel/UC9YCju2l8HGamwHOrJEkE1Q/join メール : nikomotsuku@yahoo.co.jp  #APEX #apexlegends  #エーペックスレジェンズ #豆知識 #解説","apexlegends, APEX, エーペックスレジェンズ, 初心者向け, もつく, もつくAPEX, もつくさん, 豆知識, 解説",2025-04-19 07:00
"【30秒で撃ち合いが強くなる】最強の撃ち方3選 #apex #エーペックス #shorts #apexlegends","https://youtube.com/shorts/am5Z1PSQ82c",1039742,26861,184,"みっきー@APEXコーチ","","",2025-05-24 20:43
"ブチギレ野良VCが絶対に黙る最強の一言ww【APEX】#shorts","https://youtube.com/shorts/dOHHNZON06Y",1115293,24710,799,"よなか","#apex　#Vtuber　#shorts　#APEX女子　#APEXLegends　#野良VC　   最新のお知らせはこちらから twitter ▶ よなか👻（ https://twitter.com/yonaka_Vtuber ）","ゲーム実況, 女性実況, ゲーム, よなか, Vtuber, APEXLegends, エーペックスレジェンズ, エペ, APEX女子, ドッキリ, FPS, バグ, 害悪行為, かわいい, 師匠, 弟子, けんちゅー, 歌ってみた, 野良, ランク, ソロランク, APEX, ホロライブ, にじさんじ, 野良vc",2025-04-25 18:00
"【Apex Legends】　ホライゾンクビになる　 #shorts","https://youtube.com/shorts/WMNlee6BlOg",1369924,13415,194,"ぺんぎんです","#エーペックスレジェンズ #エーペックス 編集を参考にさせていただいた方 @おぐみちゃん","",2025-05-10 16:39
"ボセックが僕の知ってるボセックじゃ無くなった件ｗｗｗｗｗｗ [APEX] #shorts","https://youtube.com/shorts/CxeuUwr1VyA",1080800,9361,77,"ハチミツapex","#apex #apexlegends #エーペックスレジェンズ","#apex, #apexlegends, #エーペックスレジェンズ",2025-05-08 06:30
"【APEX】敵が攻めてきても蘇生を続けるニューキャッスル！ #エーペックス #蘇生 #ニューキャッスル #APEX #short #shorts","https://youtube.com/shorts/eK8KBZmy07I",1102461,9548,178,"てこん","","",2025-05-24 20:01
"【APEX】カスタムで魅せた最強ソロヴァルキリー #shorts #エーペックス #APEX #apexlegends #エーペックスレジェンズ","https://youtube.com/shorts/fI-3mS5yP40",1030274,7907,84,"結城ゆきる","最強  －－【 結城ゆきる 】－－－－－ バンド解散して暇になったVtuberです。 どんな人でもコメントしやすく、前向きで楽しい配信を目指しています！ 調子に乗るとお酒を飲むし、失敗もしますが、それも楽しく見てくれたら嬉しいです！   I'm a Vtuber who has a lot of free time after the band disbanded. Anyone can feel free to comment and we aim for positive and fun content! There are times when I get carried away and drink alcohol, and I make mistakes, but I hope you enjoy it too! （sorry. I can only speak Japanese）     －－【 活動詳細 】－－－－－－  「 X（旧：Twitter）」配信予定など情報多いです。絶対フォローして！ メイン　https://twitter.com/VT_yukiru 日常用　https://twitter.com/VT_yukirun  「歌ってみた専用チャンネル」 https://www.youtube.com/@yukiru_music  「Twitch」 https://www.twitch.tv/vt_yukiru 大画面配信はここで見れます。    －－【活動を支援してくださる方へ】－－－  「メンバーシップ」 https://www.youtube.com/channel/UCQtGDPD7wDhwXXdmEL68Tqw/join 月額500円　スタンプが使えるようになります！  「欲しいものリスト」https://www.amazon.co.jp/hz/wishlist/ls/P02PLVKZZ8FF 食べ物・飲み物など。一緒に送れば好きなものも送れます！  「FANBOX」https://vt-yukiru.fanbox.cc/ プラン別。１対１の通話できます。秘密の音源と動画も。 また還元率が高く、支援していただいたお金のほとんどが配信者に届きます！ みんなのおかげで活動を長く続けることができています！ありがとう🙏♥  「どねる（Doneru）」https://doneru.jp/yukiru 還元率が高く、支援していただいたお金のほとんどが配信者に届きます！ ご協力していただける人のおかげで活動を長く続けることができています！    －－【 結城ゆきるの活動を支援してくれている企業様 】－－－  「PC SHOP NORTH」https://twitter.com/pcshop_north https://north-pcshop.com/ 高品質・低価格　１つ１つのパーツをオーダー可能 オリジナルゲーミングPCを制作してくれます。 ゆきるの紹介で割引があります。 相談はXのDMへよろしくお願いします！  「JAPANNEXT」https://twitter.com/japannext1 液晶モニターの製造会社様です ゲーミングのみならずずモバイルモニター、 デジタルサイネージなど多種多様な品ぞろえで展開しています 15% off クーポンコード：NORTHCODE   #エーペックス #apex #結城ゆきる","エーペックスレジェンズ, エーペックス, エペ, APEX, APEX LEGENDS, 新シーズン, バグ, ゲーム実況, 結城ゆきる, ゆきる, ゆうきゆきる, ゆいしろゆきる, るっつ, るっ's, Mildom, ゲーム配信, ホラゲー配信, 面白, エペモバ, プレデター, ランクマ, ランクマッチ",2025-03-08 18:00
"野良VCが豹変！変態すぎる最強の一言ww【APEX】#shorts","https://youtube.com/shorts/nm3nlyb-5zE",790931,16212,123,"よなか","#apex　#Vtuber　#shorts　#APEX女子　#APEXLegends　#野良VC　   最新のお知らせはこちらから twitter ▶ よなか👻（ https://twitter.com/yonaka_Vtuber ）","ゲーム実況, 女性実況, ゲーム, よなか, Vtuber, APEXLegends, エーペックスレジェンズ, エペ, APEX女子, ドッキリ, FPS, バグ, 害悪行為, かわいい, 師匠, 弟子, けんちゅー, 歌ってみた, 野良, ランク, ソロランク, APEX, ホロライブ, にじさんじ, 野良vc",2025-05-03 18:01
