Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"ハンゾーでウォッチポイント防衛するなら開幕狙ってみよう！ #shorts #オーバーウオッチ2 #overwatch2 #ハンゾー #hanzo  #vtuber","https://youtube.com/shorts/RDRqCL_fhAw",1345993,16611,136,"灰生 ロク(はいいろく)","ワンチャン開幕キルとれるかも⁉","",2025-04-01 18:00
"【OW2】オホ声でバズった女の末路【オーバーウォッチ2】#shorts #overwatch2","https://youtube.com/shorts/HK_oGgs3H98",545394,27933,331,"猫らぶち","オホ顔イラストを描いてくださった絵師様⇒エリ様  ・絵師様Twitter https://x.com/Shizuki_eri  ・イラストのTwitter URL https://x.com/Shizuki_eri/status/1862115628523679770","オーバーウォッチ, オーバーウォッチ2, overwatch, overwatch2, OW, OW2, 猫らぶち, オホ声, オホ, 前世, Vtuber, 個人Vtuber, 新人Vtuber",2025-04-29 17:58
"sellyは眼中になかったANS【オーバーウォッチ2】#shorts #overwatch2","https://youtube.com/shorts/5Ir1EWZlYwI",575043,9781,80,"official ANS","","",2025-05-14 19:00
"マニアックすぎるOW2の物真似","https://youtube.com/shorts/-mCh1A1q2WY",611333,16814,189,"塩入永遠","https://twitter.com/shikozaba https://www.twitch.tv/shikozaba","",2025-04-10 11:55
"【OW2】OWの民度実はそんなに悪くない説【オーバーウォッチ２】 #ow女子  #切り抜き #vtuber","https://youtube.com/shorts/4AbXw29CjUY",247494,9028,617,"タルレミ・エラ","🤍受注生産グッズ販売開始🤍 タルレミ・エラ2025年誕生日記念グッズ オリジナルマウスカーソル(アニメーション有!)やキービジュアクスタもあるよ～💭 https://tallemiella.booth.pm/items/6688509  ※3月23日 11時59分まで  元配信はこちらから https://www.twitch.tv/tallemi_ella  X https://twitter.com/Tallemi_Ella  OW動画再生リスト https://www.youtube.com/playlist?list=PL4zdLohtRID4gFg8MzAh96njw6TXeCaIq  OWShorts再生リスト https://www.youtube.com/playlist?list=PL4zdLohtRID7288G8RP3uagVzqFxdqT3p","",2025-03-19 18:00
"【OW2】D.Vaで味方を回復する裏技【オーバーウォッチ2】#overwatch2 #オーバーウォッチ2 #ow2 #ゲーム実況 #shorts","https://youtube.com/shorts/oCz5WA6W0Wk",320147,4921,53,"せつなGAME","【Twitter】→https://twitter.com/setuna_272  ＃オーバーウォッチ２　＃OW2　#ゲーム実況   「面白かった」「また見たいな」と思っていただけたら、チャンネル登録・高評価をよろしくお願いします！ 次回の動画も、ぜひ見てください！  OW2実況シリーズ→https://www.youtube.com/playlist?list=PLGh8hUuQY71Rp8-h7qYfRf6Ed6BwzZhLt チャンネル登録→https://www.youtube.com/@UCi444Yc0_Y6-J3nDIdIq8NQ   【使用させていただいている音源・効果音提供者様】  ・効果音ラボ ・魔王魂 ・甘茶の音楽工房 ・DOVA-SYNDROME ・騒音のない世界 ・ニコニ・コモンズ  曲名　 Spektrem 音楽提供　NoCopyrightSounds 参照　“https://www.youtube.com/watch?v=n4tK7LYFxI0”  曲名　 Elektronomia 音楽提供　NoCopyrightSounds 参照　https://www.youtube.com/watch?v=TW9d8vYrVFQ","ゲーム, ゲーム実況, OW2, オーバーウォッチ2, オーバーウォッチ, おーばーうぉっち, FPS, 最強, ウルト, ウィドウメイカー, ウィドウ, 最速, アナ, D.Va, キリコ, マーシー, ファラ, 検証, ゲンジ, ラマットラ, ソジョーン, シグマ, エコー, リーパー, アプデ, 強化, 無限, ハンゾー, ゼニヤッタ, ゼニ, ラインハルト, ハルト, トレーサー, ドラゴン, ジャンカークイーン, マウガ, ホッグ, ロードホッグ, ルシオ, アッシュ, ジャンクラット, ジャンクラ, バスティオン, ドゥームフィスト, ドゥーム, タレ爺, トールビョーン, OWCS, シンメトラ, イラリー, メイ, 縛り, 禁止, 即終了, 跳ね返し, 木の葉返し, してみた, シリーズ, ショート, ライフウィーバー, オリーサ, 低速, チーター",2025-04-16 12:01
"FREJA Has A RARE 'Thank You' VOICELINE In Overwatch 2 #shorts #overwatch2 #overwatch #ow2 #ow","https://youtube.com/shorts/YfQoRHiNAXk",214976,14603,111,"MixedFreight","FREJA Has A RARE 'Thank You' VOICELINE In Overwatch 2... Oh boy how many more rare Overwatch 2 voicelines are there still?  Subscribe - @MixedFreight  Channels I Edit For - @KarQives & @KarQMarvelRivals","FREJA Has A RARE 'Thank You' VOICELINE In Overwatch 2, FREJA Has A RARE 'Thank You' VOICELINE, RARE 'Thank You' VOICELINE In Overwatch 2, freja overwatch, freja overwatch 2, overwatch voiceline, overwatch voice lines, overwatch, overwatch 2, ow2, rare overwatch voice lines, rare overwatch 2 voice lines, freja, freja overwatch voice lines, freja overwatch gameplay, overwatch season 16, ow2 season 16",2025-04-23 06:00
"【OW2】VRCは人間の関係性が壊れるらしい【オーバーウォッチ2】 #vtuber #ow女子 #切り抜き","https://youtube.com/shorts/6AJkuOd-Aow",354651,4860,91,"タルレミ・エラ","元配信はこちらから https://www.twitch.tv/tallemi_ella  X https://twitter.com/Tallemi_Ella  OW動画再生リスト https://www.youtube.com/playlist?list=PL4zdLohtRID4gFg8MzAh96njw6TXeCaIq  OWShorts再生リスト https://www.youtube.com/playlist?list=PL4zdLohtRID7288G8RP3uagVzqFxdqT3p","",2025-04-30 18:00
"BANシステム実装されてソンブラって…【 OverWatch 2 / ta1yo 切り抜き】#shorts #shorts","https://youtube.com/shorts/hN9N99wgk54",381486,2546,318,"【公認】ta1yo 切り抜き放送","BANシステム実装されてソンブラって…【 OverWatch 2 / ta1yo 切り抜き】#shorts #shorts  元配信はta1yoさんのtwichの方でご覧になれます。  ta1yoさんのtwitchはこちら https://www.twitch.tv/ta1yo_tv ta1yoさんのyoutubeはこちら https://www.youtube.com/@ta1yotv  ●ZETA DIVISION様に許可をいただいた上で、規約遵守のもと、ta1yoさんの切り抜き動画を投稿させていただいております。また、ガイドラインに則りアーカイブ終了後48時間経過後に投稿しています。 ●ZETA DIVISION許諾番号：0209","",2025-05-06 16:42
"【OW2】結局タルレミ・エラのメインロールは何？【オーバーウォッチ2】 #vtuber #ow女子 #切り抜き","https://youtube.com/shorts/MCHSQ58nNPQ",271388,4368,37,"タルレミ・エラ","元配信はこちらから https://www.twitch.tv/tallemi_ella  X https://twitter.com/Tallemi_Ella  OW動画再生リスト https://www.youtube.com/playlist?list=PL4zdLohtRID4gFg8MzAh96njw6TXeCaIq  OWShorts再生リスト https://www.youtube.com/playlist?list=PL4zdLohtRID7288G8RP3uagVzqFxdqT3p","",2025-04-18 18:00
"【OW2】単純な「エイム力」が1番高いゲームはなんだろう【オーバーウォッチ2】 #vtuber #ow女子 #切り抜き","https://youtube.com/shorts/kS10dbGWtVg",293917,4858,129,"タルレミ・エラ","元配信はこちらから https://www.twitch.tv/tallemi_ella  X https://twitter.com/Tallemi_Ella  OW動画再生リスト https://www.youtube.com/playlist?list=PL4zdLohtRID4gFg8MzAh96njw6TXeCaIq  OWShorts再生リスト https://www.youtube.com/playlist?list=PL4zdLohtRID7288G8RP3uagVzqFxdqT3p","",2025-05-04 18:00
"メルトンの強さを評価するta1yo【 OverWatch 2 / ta1yo 切り抜き】#shorts #shorts","https://youtube.com/shorts/kIN5g0UVCDs",318838,2600,100,"【公認】ta1yo 切り抜き放送","メルトンの強さを評価するta1yo【 OverWatch 2 / ta1yo 切り抜き】#shorts #shorts  元配信はta1yoさんのtwichの方でご覧になれます。 ta1yoさんのtwitchはこちら https://www.twitch.tv/ta1yo_tv ta1yoさんのyoutubeはこちら https://www.youtube.com/@ta1yotv  ●ZETA DIVISION様に許可をいただいた上で、規約遵守のもと、ta1yoさんの切り抜き動画を投稿させていただいております。また、ガイドラインに則りアーカイブ終了後48時間経過後に投稿しています。 ●ZETA DIVISION許諾番号：0209","",2025-05-19 19:49
"""스타디움 캐서디 겁나 빠른 석양ㄷㄷㄷ"" #overwatch2 #ow2 #스타디움 #오버워치2","https://youtube.com/shorts/Avl2AMV4Op4",246072,4580,216,"해안비","#overwatch2  #오버워치2 #ow2 #overwatch #오버워치 스타디움 #캐서디","오버워치2, 오버워치, overwatch2, ow2",2025-05-29 07:30
"【OW2】理解ってる野良がいた  #shorts【オーバーウォッチ2】 #overwatch2   #オーバーウォッチ2   #シンメトラ","https://youtube.com/shorts/Q1G73E9vLqA",276984,4060,94,"ラブリーシンメトラ","これは流石に100点ですわ","",2025-04-22 11:15
