Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"THE FINALS | Season 6 Trailer","https://youtube.com/shorts/FWbumSNA4mk",109841,6540,676,"THE FINALS","RISING STARS it's your time to shine!  SEE YOU IN THE ARENA!   X: https://twitter.com/reachthefinals  Discord: https://discord.com/invite/thefinals  Steam | GeForce NOW: https://store.steampowered.com/app/2073850/THE_FINALS/  PlayStation 5: https://store.playstation.com/en-se/concept/10006873/  Xbox Series X|S: https://www.xbox.com/en-US/games/store/the-finals/9pgd71cmds0z  Check out the Season 5 soundtrack: https://lnk.to/TheFinalsS5OST  https://reachthefinals.com   #thefinalsgame #reachthefinals #thefinals","",2025-03-20 19:00
"THE FINALS | S6 Battle Pass","https://youtube.com/shorts/n4OtwjbVZu0",96855,6787,813,"THE FINALS","Get a look at the Season 6 Battle Pass!   SEE YOU IN THE ARENA!   X: https://twitter.com/reachthefinals  Discord: https://discord.com/invite/thefinals  Steam | GeForce NOW: https://store.steampowered.com/app/2073850/THE_FINALS/  PlayStation 5: https://store.playstation.com/en-se/concept/10006873/  Xbox Series X|S: https://www.xbox.com/en-US/games/store/the-finals/9pgd71cmds0z  Check out the Season 5 soundtrack: https://lnk.to/TheFinalsS5OST  https://reachthefinals.com   #thefinalsgame #reachthefinals #thefinals","",2025-03-19 03:01
"THE FINALS | Took some sniping lessons 💪","https://youtube.com/shorts/8NZuNcvJqBM",36968,1555,141,"THE FINALS","Alright took some sniping lessons since last time 💪  SEE YOU IN THE ARENA!   X: https://twitter.com/reachthefinals  Discord: https://discord.com/invite/thefinals  Steam | GeForce NOW: https://store.steampowered.com/app/2073850/THE_FINALS/  PlayStation 5: https://store.playstation.com/en-se/concept/10006873/  Xbox Series X|S: https://www.xbox.com/en-US/games/store/the-finals/9pgd71cmds0z  Check out the Season 6 soundtrack: https://lnk.to/TheFinalsS6OST  https://reachthefinals.com   #thefinalsgame #reachthefinals #thefinals","",2025-05-17 18:00
"THE FINALS | Come on Vogue","https://youtube.com/shorts/pf8goiqFB2s",24023,1533,96,"THE FINALS","What's YOUR new look? 💅  SEE YOU IN THE ARENA!   X: https://twitter.com/reachthefinals  Discord: https://discord.com/invite/thefinals  Steam | GeForce NOW: https://store.steampowered.com/app/2073850/THE_FINALS/  PlayStation 5: https://store.playstation.com/en-se/concept/10006873/  Xbox Series X|S: https://www.xbox.com/en-US/games/store/the-finals/9pgd71cmds0z  Check out the Season 6 soundtrack: https://lnk.to/TheFinalsS6OST  https://reachthefinals.com   #thefinalsgame #reachthefinals #thefinals","",2025-04-04 18:01
"THE FINALS | Reality Shield","https://youtube.com/shorts/8Xe1WmoJTQo",24740,2048,92,"THE FINALS","Cut out the noise. ENGIMO  SEE YOU IN THE ARENA!   X: https://twitter.com/reachthefinals  Discord: https://discord.com/invite/thefinals  Steam | GeForce NOW: https://store.steampowered.com/app/2073850/THE_FINALS/  PlayStation 5: https://store.playstation.com/en-se/concept/10006873/  Xbox Series X|S: https://www.xbox.com/en-US/games/store/the-finals/9pgd71cmds0z  Check out the Season 6 soundtrack: https://lnk.to/TheFinalsS6OST  https://reachthefinals.com   #thefinalsgame #reachthefinals #thefinals","",2025-04-12 01:22
"THE FINALS | OSPUZE | Last Drop","https://youtube.com/shorts/WtkDxRt0rIw",13141,793,98,"THE FINALS","This one’s about going out with a bang. Every time a contestant is eliminated, they drop a live bomb. Pick it up, throw it at an enemy, or run for cover - just make sure you’re not holding on to one when the timer runs out. Each explosive sticks around for a few seconds… or detonates instantly on impact.  POP. POUR. PERFORM.   X: https://twitter.com/reachthefinals  Discord: https://discord.com/invite/thefinals  Steam | GeForce NOW: https://store.steampowered.com/app/2073850/THE_FINALS/  PlayStation 5: https://store.playstation.com/en-se/concept/10006873/  Xbox Series X|S: https://www.xbox.com/en-US/games/store/the-finals/9pgd71cmds0z  Check out the Season 6 soundtrack: https://lnk.to/TheFinalsS6OST  https://reachthefinals.com   #thefinalsgame #reachthefinals #thefinals","",2025-05-08 19:01
"The SEXIEST Minigun Skin In THE FINALS (The Alfa Acta Minigun)  #thefinals #thefinalsgameplay","https://youtube.com/shorts/t0nYHW5THak",10749,524,24,"HazedNConfused","The SEXIEST Minigun Skin In THE FINALS (The Alfa Acta Minigun)  #thefinals #thefinalsgameplay","the finals, the finals season 6, the finals minigun, the finals minigun gameplay, the finals minigun alfa acta, the finals minigun skin, the finals minigun alfa acta skin, the finals gameplay, the finals season 6 gameplay, the finals heavy, the finals heavy gameplay, the finals hazednconfused",2025-04-13 08:28
"笑い方がキモすぎる #ネヴァ #thefinals #ザファイナルズ","https://youtube.com/shorts/mUC1dKgePlo",1877,2,1,"NEVA-ネヴァ","","",2025-05-19 20:01
"キィモチィイィィィィ #ネヴァ #thefinals #ザファイナルズ","https://youtube.com/shorts/ekPYrvJjP-c",1261,6,2,"NEVA-ネヴァ","","",2025-05-22 18:31
"開幕と同時に野良さんに体当たりするとこうなる#THE FINALS #THEFINALS#ザファイナルズ#shorts","https://youtube.com/shorts/igAKbwPtn9c",666,5,0,"Angler_ Ak","","ザファイナルズ, THE FINALS, short",2025-05-22 18:23
