Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"The Best PILOT takedown in Battlefield 2042..","https://youtube.com/shorts/_fG1MlW6L8E",35464488,1134070,5209,"SQUiD G+","Full Battlefield 2042 Vids -  https://www.youtube.com/@SQUiD-G","",2023-07-27 02:15
"Turret Vs Snipers FACE in Battlefield 2042..","https://youtube.com/shorts/JhsUvGq0vzA",25213952,661650,2063,"SQUiD G+","All videos are taken from my MAIN channel SQUID G","",2023-05-16 08:27
"Top 5 RAREST Weapons in Battlefield History","https://youtube.com/shorts/9e0mLwZkT5w",19106284,877941,1312,"TBAG [Epic Gaming]","","",2023-05-18 04:17
"A jogada mais lendária dos jogos #battlefield #lendaria #jogos #games #gamer #gaming #puckzito","https://youtube.com/shorts/iyKNuHvhhDc",13878961,1280406,8478,"Puckzito","","",2023-07-05 00:00
"POV : Tu est un pilote de drone FPV sur BATTLEFIELD 2042 #battlefield2042 #FPV #DRONE","https://youtube.com/shorts/n_5cOtw_m68",7602239,200772,3494,"LeGuMeN","POV : Tu est un pilote de drone FPV sur BATTLEFIELD 2042 #battlefield #battlefield2042 #flying #fly #gameplay #wtf #insane #fpv # POV # drone #skill #foryou #fyp #pourtoi","RPG, antivéhicule, battlefield, battlefield2042, dogfight, fly, flying, game, gameplay, gaming, helico, nice, nightbird, pilotage, saison7, shot, skill, start",2024-05-11 18:31
"The COLDEST Clip ever in Battlefield 2042..","https://youtube.com/shorts/neNf8rj5eAQ",7804886,360027,3811,"SQUiD G+","The BEST Battlefield 2042 clips on YouTube","",2024-08-21 00:15
"Making a normal troll face edit. Pilot Skills 🥶. Battlefield 2042. #trollface #edit #phonk #capcut","https://youtube.com/shorts/onXYWQtca8c",6996541,482638,4350,"ITZAYUSHEDITS","Making a normal troll face edit. Pilot Skills 🥶. Battlefield 2042. #trollface #edit #phonk #capcut #capcutedit #battlefeild #jet #fighterjet #army #soldier #airforce #games #trailer #game #animation #gametrailers #best #bestgame #gameplay #pc #pcgaming #trollfaceedit #music #airplane #song #lyrics #youtube #short #reels #instagram #trending #trend #video #viral #viralvideos    The Clips in this video is from Battlefield 2042 trailer.  Thanks for watching 💕.","games, game trailer, video, song, phonk, music, lyrics, gaming, pc, pc games, battlefield, fighter jet, jet, plane, airplane, pilot, troll, troll face, edit, capcut, YouTube, shorts, Instagram, reels, best, viral video, viral, trending, trend",2024-08-09 16:19
"Veterano de Guerra juega Battlefield calculando la distancia de la bala￼ 🪖🤔 #Shorts","https://youtube.com/shorts/1y74vjQm9MA",6415028,686511,2306,"Energiapersonal","","",2024-07-10 01:12
"Pro snipers TRY hiding in Battlefield 2042..","https://youtube.com/shorts/10CXIbAe9JA",6294153,145965,1088,"SQUiD G+","Full Battlefield 2042 Vids -  https://www.youtube.com/@SQUiD-G","",2023-07-13 03:00
"This is why Battlefield 1 makes you hate war...","https://youtube.com/shorts/9ZMWM9a-v0A",5792124,133811,4653,"Sin","This is Battlefield 1 gameplay and I will show you why Battlefield makes you hate wars and basically make you a pacifist.  ♦ YOUR SUB IS EXTREMELY APPRECIATED!","battlefield, battlefield 1, battlefield 2042, battlefield 5, love is a battlefield, battlefield friends, battlefield 4, battlefield 2042 trailer, battlefield 3, battlefield 4 gameplay, battlefield 4 theme, battlefield 1 gameplay, battlefield 1 theme, battlefield one, battle field, battlefield clips, battlefield 1 soundtrack, battlefield 1 campaign, that's why battlefield",2023-05-20 22:46
