Title,Link,Views,Likes,Comments,Channel Title,Description,Tags,Published
"I got a Fortnite Skin From TEMU😂","https://youtube.com/shorts/y49FVi9Vl4A",11628623,189535,490,"Chica","I got a Fortnite Skin From TEMU😂  #Chica #Fortnite #shorts #gaming","chica, fortnite, fortnite funny, fortnite memes, fortnite tiktoks, fortnite gameplay, fortnite new, fortnite leaks, update fortnite, fortnite star wars, sypherpk, fortnite new update, fortnite leaked skins, fortnite season 3, fortnite update, fortnite season 3 new, update, battle pass, fortnite xp, star wars, typical gamer, tg plays, tg, tg icon skin, chapter 6 season 3, shorts, new update, icon skin, #shorts, #gaming, #fortnite, fortnite skin, fortnite item shop",2025-05-24 04:12
"Longest Slide in Fortnite (World Record 2025)","https://youtube.com/shorts/JpOkH2PmaHk",6066787,92900,120,"Replayz","Longest Slide in Fortnite (World Record 2025)  #shorts #fortnite #worldrecord #replayz #SpringOnYouTube","shorts, #shorts, tiktok, youtube, fortnite, fortnite world record, Longest Slide in Fortnite (World Record 2025), Longest Slide in Fortnite, replayz",2025-04-23 03:00
"フォートナイトの世界記録が凄すぎる…🥇😳","https://youtube.com/shorts/fookPr7uKTA",4314120,73825,172,"LiaqN【りあん】","","",2025-05-08 15:00
"こんなことあるん？ｗｗｗ #フォートナイト #わんパレ","https://youtube.com/shorts/gnFAsPVmT0g",3129967,47486,224,"やすずはいぱぁ","","",2025-03-15 08:48
"【フォートナイト】死体撃ち禁止マップが熱い！！","https://youtube.com/shorts/2rrV0c0RZLk",2401171,29902,558,"エニキ@フォートナイトマップ紹介","","",2025-03-25 16:30
"Fortnite 1v1 with every gun HOW TO GET Rainbow Sniper😍!#fortnite #ytshorts #1v1witheverygun","https://youtube.com/shorts/A8JDcQPbxQs",2906806,48477,448,"Crylos","Fortnite how to get the New rainbow sniper!  #1v1witheverygun #epicgames #fortnite","1v1 with every gun secrets, 1v1 with every gun fortnite secrets, 1v1 with every gun, fortnite secrets, fortnite creative, fortnite memes, fortnite edits, fortnite glitch, fortnite leaks, fortnite funny, fortnite maps, fortnite xp, fortnite map, fortnite, og fortnite, prop hunt, creative maps, nickeh30, chapter 6, Crylos, EpicGames",2025-05-08 03:42
"fortnite messed up again...","https://youtube.com/shorts/ke4Q0v1lmfQ",2599816,29004,192,"Littlest Snail Gaming","#fortnite #fortniteshorts #starwars #fortnitefunny #fortniteupdate #fortniteskins","fortnite star wars, fortnite, star wars, fortnite battle royale, star wars fortnite, fortnite nuova stagione star wars, fortnite update, fortnite x star wars, fortnite star wars season, fortnite star wars battle pass, death star fortnite, fortnite event, fortnite leaks, fortnite death star, fortnite ita, star wars w fortnite, fortnite star wars 2025, fortnite live event, fortnite star wars event, fingernails, fortnite funny, fortnite skins",2025-05-03 07:30
"害悪過ぎた味方に仕返ししたｗｗ 【フォートナイト】","https://youtube.com/shorts/7uRrmqypJ_g",2591503,21310,123,"Choro","#shorts #fortnite VOICEVOX:ずんだもん  Dragon Ball  ティックトック https://www.tiktok.com/@chorochan?is_from_webapp=1&sender_device=pc  ツイッター https://twitter.com/chorochan_gg  Googleメール choro.mate@gmail.com  ちょろちゃんねる","",2025-03-09 12:00
"大谷選手アイテムまとめ1【フォートナイト】","https://youtube.com/shorts/2Uyd4ExZl_s",1363679,19593,67,"ちゃーさん【ゲーム替え歌】","#fortnite #shorts","FORTNITE",2025-03-18 21:10
"シーズン２あるある1【フォートナイト】","https://youtube.com/shorts/CHsozTgmrI0",1531329,20336,33,"ちゃーさん【ゲーム替え歌】","#fortnite #shorts  歌詞,監督 ちゃーさん 撮影,編集 あわぴー  音源利用ありがとうございます。 ーーーーーーーーーーーーーーーーーーーーーー 音楽研究所様 http://www.asahi-net.or.jp/~HB9T-KTD/music/musj.html","FORTNITE",2025-03-23 14:45
