Title,Views,Published,Link
"意外と知らない行動心理の雑学#shorts  #雑学",6546261,2024-07-08 13:00,"https://youtube.com/shorts/bg5WF0jRYvY"
"user5827776783857 👈TikTok ID  #恋愛 #恋愛心理学 #片想い #恋愛中 #占い #占い師",6107366,2025-02-14 07:00,"https://youtube.com/shorts/XjENmIZQq38"
"yuna_renaii 👈TikTok ID  #恋愛 #恋愛心理学 #片想い #恋愛中 #占い #占い師",3371400,2025-01-20 12:00,"https://youtube.com/shorts/smfNnk_9SB4"
"ypdggbxr56i 👈TikTok ID  #恋愛 #恋愛心理学 #片想い #恋愛中 #占い #占い師",4196843,2025-01-04 12:00,"https://youtube.com/shorts/p7f_RtLCyhE"
"👈TikTok ID  #恋愛 #恋愛心理学 #片想い #恋愛中 #占い #占い師",3960315,2024-12-21 18:00,"https://youtube.com/shorts/LN2FfrIMfrg"
"友達の名前知ってるよ。#おもしろ #心理学 #爆笑",3094034,2024-07-06 18:00,"https://youtube.com/shorts/cIIIl83j1U4"
"知らない方が幸せだった恋愛心理の雑学 #雑学 #心理学",4125615,2025-05-05 18:09,"https://youtube.com/shorts/S9eZfPMGRFk"
"b4c4rdi2 👈TikTok ID  #恋愛 #恋愛心理学 #片想い #恋愛中 #占い #占い師",5786767,2025-04-21 12:00,"https://youtube.com/shorts/9fvaePpCgzs"
"中田英寿、一流の食生活。#脳科学 #心理学 #メンタル #潜在意識 #マインドセット #shorts",2180963,2024-06-29 19:48,"https://youtube.com/shorts/Coic5r_0bhU"
"㊗️400万再生突破!!自己中を一瞬で黙らせる方法#心理学 #人間関係 #ビジネス#自己中",4366324,2025-04-26 18:51,"https://youtube.com/shorts/ix1OgNHaPwA"
"9割が知らない行動心理の雑学#雑学#shorts",2004716,2025-01-07 13:00,"https://youtube.com/shorts/a5oUJQY5xA8"
"女性からこれ言われたら大好き確定TOP10 #恋愛 #心理学 #恋愛心理学",1860557,2024-09-27 16:37,"https://youtube.com/shorts/UrP1ouy-M1k"
"仕草でわかる心理学！ #hololive #ホロライブ #コント #アニメ",2073556,2024-12-13 19:00,"https://youtube.com/shorts/glgmm2U_vWk"
"x49m08u9 👈TikTok ID  #恋愛 #恋愛心理学 #片想い #恋愛中 #占い #占い師",1960057,2025-03-17 12:00,"https://youtube.com/shorts/jXtJElcrkCQ"
"#恋愛 #恋愛心理学 #片想い #恋愛中 #占い #占い師",2455470,2025-02-25 19:53,"https://youtube.com/shorts/i11Qny0Vl1o"
"ヤクザが使う絶対に相手に舐められないテクニック#話し方の極意 #舐められない技術 #ヤクザ流心理術 #主導権を握る #人間関係攻略",2241529,2025-03-25 20:00,"https://youtube.com/shorts/_6NuBcfs4Dk"
"モテるのに勿体無いなと思う男性の特徴10選 #恋愛 #雑学 #心理学",1751649,2024-10-23 16:53,"https://youtube.com/shorts/Q0x_kKfPzMY"
"【悪用厳禁】ヤバすぎる心理学3選 #テイペン#Plottアニメ",1488308,2024-07-25 18:00,"https://youtube.com/shorts/faT-onysRPw"
"女子が１ミリも興味ない男子にすること５選#恋愛 #恋愛心理学 #恋愛テクニック",1840489,2025-01-16 20:00,"https://youtube.com/shorts/K_aEuBVwjFk"
"本当に好きになるのはイケメンより...【恋愛心理学】 #恋愛テクニック #恋愛テク #恋愛心理学",1351487,2024-07-13 19:00,"https://youtube.com/shorts/JBEMMs8obWQ"
"悪用厳禁！女性を惚れさせる3つの心理テク #心理学 #shorts #恋愛心理学 #モテる #雑学 #恋愛テク【VOICEVOX:青山龍星】",1262049,2024-06-20 23:00,"https://youtube.com/shorts/XcxQ1TfijBg"
"部屋のここに人の本性が出る #心理学 #名言 #shorts",1009057,2024-12-22 07:32,"https://youtube.com/shorts/W4qsFt3f1As"
"実はまったく優しくない人の特徴5選‼️#雑学 #心理学 #占い #スピリチュアル #友達 #親友 #人間関係 #あるある #優しい #shorts",1249762,2024-06-20 19:59,"https://youtube.com/shorts/1f2uQfhmC5U"
"実は死期が近い時に見る夢4選…。#雑学#心理学#占い#スピリチュアル#都市伝説#怖い話#心霊#shorts",986119,2024-06-02 19:17,"https://youtube.com/shorts/HTSVCwU5B1E"
"好きでも離れるべき男子の特徴５選#恋愛心理学#恋愛テクニック",950252,2024-09-18 20:00,"https://youtube.com/shorts/VeXf4Y-o128"
"9割が知らない有益な恋愛心理の雑学 #雑学 #心理学",1669103,2025-04-15 18:35,"https://youtube.com/shorts/bbknh5N7y6c"
"男子が本命だけに見せる行動５選#恋愛心理学#恋愛テクニック",798384,2024-09-15 20:00,"https://youtube.com/shorts/1a-DMOaAimY"
"【最後は知らないとダメ！】女性が嫌いな人だけに取る行動TOP5#恋愛 #恋愛心理学",1504689,2025-04-29 23:13,"https://youtube.com/shorts/yxUeKyX34FQ"
"好きな人の気持ちを確かめる方法TOP5　#shorts #恋愛 #恋愛心理学 #恋愛テクニック",832664,2025-02-20 20:00,"https://youtube.com/shorts/H0yghnF71JQ"
"【考えさせられる動画】心理学から学ぶ恐ろしいテクニック　#モチベーション #人生 #教訓",677869,2024-11-07 12:00,"https://youtube.com/shorts/uJjn-7wum60"
"男子が思わず惚れちゃう言葉５選#恋愛心理学 #恋愛テクニック",631599,2024-09-26 20:00,"https://youtube.com/shorts/f2BSuYQwBEU"
"女性が脈ありの男に見せるサインTOP10 #恋愛 #雑学 #心理学",619123,2024-09-19 16:57,"https://youtube.com/shorts/tK9uQqYbfVU"
"ユニクロが知られたくない裏側　#ユニクロ #ファストファッション #心理学 #豆知識",1024931,2025-04-11 14:45,"https://youtube.com/shorts/Bbrx3Uiue60"
